"Notes"	"Age Groups"	"Age Groups Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Crude Rate	Crude Rate Standard Error
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2000"	"2000"	20	751274	2.662	0.595
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2003"	"2003"	22	804001	2.736	0.583
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2004"	"2004"	22	810936	2.713	0.578
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2005"	"2005"	19	816991	2.326	0.534
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2006"	"2006"	24	828158	2.898	0.592
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2007"	"2007"	21	836312	2.511	0.548
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2008"	"2008"	28	844073	3.317	0.627
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2009"	"2009"	21	860597	2.440	0.532
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2010"	"2010"	18	876500	2.054	0.484
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2011"	"2011"	21	888412	2.364	0.516
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2012"	"2012"	27	893393	3.022	0.582
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2013"	"2013"	27	891307	3.029	0.583
	"20-24 years"	"20-24"	"Pennsylvania"	"42"	"2014"	"2014"	21	880808	2.384	0.520
	"20-24 years"	"20-24"	"Texas"	"48"	"1999"	"1999"	25	1498912	1.668	0.334
	"20-24 years"	"20-24"	"Texas"	"48"	"2000"	"2000"	41	1551447	2.643	0.413
	"20-24 years"	"20-24"	"Texas"	"48"	"2001"	"2001"	27	1612414	1.675	0.322
	"20-24 years"	"20-24"	"Texas"	"48"	"2002"	"2002"	36	1669665	2.156	0.359
	"20-24 years"	"20-24"	"Texas"	"48"	"2003"	"2003"	47	1710247	2.748	0.401
	"20-24 years"	"20-24"	"Texas"	"48"	"2004"	"2004"	35	1735056	2.017	0.341
	"20-24 years"	"20-24"	"Texas"	"48"	"2005"	"2005"	36	1746232	2.062	0.344
	"20-24 years"	"20-24"	"Texas"	"48"	"2006"	"2006"	32	1763694	1.814	0.321
	"20-24 years"	"20-24"	"Texas"	"48"	"2007"	"2007"	43	1766141	2.435	0.371
	"20-24 years"	"20-24"	"Texas"	"48"	"2008"	"2008"	39	1777634	2.194	0.351
	"20-24 years"	"20-24"	"Texas"	"48"	"2009"	"2009"	46	1797858	2.559	0.377
	"20-24 years"	"20-24"	"Texas"	"48"	"2010"	"2010"	43	1827540	2.353	0.359
	"20-24 years"	"20-24"	"Texas"	"48"	"2011"	"2011"	42	1872608	2.243	0.346
	"20-24 years"	"20-24"	"Texas"	"48"	"2012"	"2012"	42	1929918	2.176	0.336
	"20-24 years"	"20-24"	"Texas"	"48"	"2013"	"2013"	46	1965809	2.340	0.345
	"20-24 years"	"20-24"	"Texas"	"48"	"2014"	"2014"	39	1999613	1.950	0.312
	"20-24 years"	"20-24"	"Texas"	"48"	"2015"	"2015"	36	2012055	1.789	0.298
	"20-24 years"	"20-24"	"Texas"	"48"	"2016"	"2016"	37	2004879	1.845	0.303
	"20-24 years"	"20-24"	"Texas"	"48"	"2017"	"2017"	33	1994342	1.655	0.288
	"20-24 years"	"20-24"	"Texas"	"48"	"2018"	"2018"	34	1991516	1.707	0.293
	"20-24 years"	"20-24"	"Virginia"	"51"	"2003"	"2003"	21	523301	4.013	0.876
	"20-24 years"	"20-24"	"Virginia"	"51"	"2017"	"2017"	18	583463	3.085	0.727
	"20-24 years"	"20-24"	"Washington"	"53"	"2012"	"2012"	21	489993	4.286	0.935
	"20-24 years"	"20-24"	"Washington"	"53"	"2013"	"2013"	17	492667	3.451	0.837
	"20-24 years"	"20-24"	"Wisconsin"	"55"	"1999"	"1999"	18	350798	5.131	1.209
	"20-24 years"	"20-24"	"Wisconsin"	"55"	"2004"	"2004"	16	394437	4.056	1.014
	"20-24 years"	"20-24"	"Wisconsin"	"55"	"2012"	"2012"	20	394542	5.069	1.134
	"25-29 years"	"25-29"	"Alabama"	"01"	"2018"	"2018"	17	340112	4.998	1.212
	"25-29 years"	"25-29"	"Arizona"	"04"	"2001"	"2001"	16	371096	4.312	1.078
	"25-29 years"	"25-29"	"Arizona"	"04"	"2003"	"2003"	17	383859	4.429	1.074
	"25-29 years"	"25-29"	"Arizona"	"04"	"2011"	"2011"	16	441038	3.628	0.907
	"25-29 years"	"25-29"	"Arizona"	"04"	"2016"	"2016"	18	488877	3.682	0.868
	"25-29 years"	"25-29"	"California"	"06"	"1999"	"1999"	77	2563984	3.003	0.342
	"25-29 years"	"25-29"	"California"	"06"	"2000"	"2000"	74	2538599	2.915	0.339
	"25-29 years"	"25-29"	"California"	"06"	"2001"	"2001"	59	2511761	2.349	0.306
	"25-29 years"	"25-29"	"California"	"06"	"2002"	"2002"	69	2503790	2.756	0.332
	"25-29 years"	"25-29"	"California"	"06"	"2003"	"2003"	73	2514926	2.903	0.340
	"25-29 years"	"25-29"	"California"	"06"	"2004"	"2004"	73	2552577	2.860	0.335
	"25-29 years"	"25-29"	"California"	"06"	"2005"	"2005"	65	2598001	2.502	0.310
	"25-29 years"	"25-29"	"California"	"06"	"2006"	"2006"	53	2657935	1.994	0.274
	"25-29 years"	"25-29"	"California"	"06"	"2007"	"2007"	67	2692305	2.489	0.304
	"25-29 years"	"25-29"	"California"	"06"	"2008"	"2008"	76	2729493	2.784	0.319
	"25-29 years"	"25-29"	"California"	"06"	"2009"	"2009"	65	2744863	2.368	0.294
	"25-29 years"	"25-29"	"California"	"06"	"2010"	"2010"	89	2748613	3.238	0.343
	"25-29 years"	"25-29"	"California"	"06"	"2011"	"2011"	60	2773460	2.163	0.279
	"25-29 years"	"25-29"	"California"	"06"	"2012"	"2012"	72	2794294	2.577	0.304
	"25-29 years"	"25-29"	"California"	"06"	"2013"	"2013"	58	2836305	2.045	0.269
	"25-29 years"	"25-29"	"California"	"06"	"2014"	"2014"	95	2907543	3.267	0.335
	"25-29 years"	"25-29"	"California"	"06"	"2015"	"2015"	74	2990012	2.475	0.288
	"25-29 years"	"25-29"	"California"	"06"	"2016"	"2016"	84	3072927	2.734	0.298
	"25-29 years"	"25-29"	"California"	"06"	"2017"	"2017"	67	3119955	2.147	0.262
	"25-29 years"	"25-29"	"California"	"06"	"2018"	"2018"	77	3119564	2.468	0.281
	"25-29 years"	"25-29"	"Colorado"	"08"	"2009"	"2009"	17	367384	4.627	1.122
	"25-29 years"	"25-29"	"Florida"	"12"	"1999"	"1999"	34	994333	3.419	0.586
	"25-29 years"	"25-29"	"Florida"	"12"	"2000"	"2000"	40	991304	4.035	0.638
	"25-29 years"	"25-29"	"Florida"	"12"	"2001"	"2001"	39	971119	4.016	0.643
	"25-29 years"	"25-29"	"Florida"	"12"	"2002"	"2002"	34	972896	3.495	0.599
	"25-29 years"	"25-29"	"Florida"	"12"	"2003"	"2003"	23	987982	2.328	0.485
	"25-29 years"	"25-29"	"Florida"	"12"	"2004"	"2004"	38	1024559	3.709	0.602
	"25-29 years"	"25-29"	"Florida"	"12"	"2005"	"2005"	44	1073268	4.100	0.618
	"25-29 years"	"25-29"	"Florida"	"12"	"2006"	"2006"	45	1127022	3.993	0.595
	"25-29 years"	"25-29"	"Florida"	"12"	"2007"	"2007"	51	1155866	4.412	0.618
	"25-29 years"	"25-29"	"Florida"	"12"	"2008"	"2008"	41	1170676	3.502	0.547
	"25-29 years"	"25-29"	"Florida"	"12"	"2009"	"2009"	39	1178740	3.309	0.530
	"25-29 years"	"25-29"	"Florida"	"12"	"2010"	"2010"	47	1184559	3.968	0.579
	"25-29 years"	"25-29"	"Florida"	"12"	"2011"	"2011"	46	1205662	3.815	0.563
	"25-29 years"	"25-29"	"Florida"	"12"	"2012"	"2012"	39	1229101	3.173	0.508
	"25-29 years"	"25-29"	"Florida"	"12"	"2013"	"2013"	44	1254195	3.508	0.529
	"25-29 years"	"25-29"	"Florida"	"12"	"2014"	"2014"	48	1294083	3.709	0.535
	"25-29 years"	"25-29"	"Florida"	"12"	"2015"	"2015"	46	1344125	3.422	0.505
	"25-29 years"	"25-29"	"Florida"	"12"	"2016"	"2016"	34	1393873	2.439	0.418
	"25-29 years"	"25-29"	"Florida"	"12"	"2017"	"2017"	41	1424439	2.878	0.450
	"25-29 years"	"25-29"	"Florida"	"12"	"2018"	"2018"	55	1429957	3.846	0.519
	"25-29 years"	"25-29"	"Georgia"	"13"	"2001"	"2001"	17	623999	2.724	0.661
	"25-29 years"	"25-29"	"Georgia"	"13"	"2002"	"2002"	22	613550	3.586	0.764
	"25-29 years"	"25-29"	"Georgia"	"13"	"2004"	"2004"	17	619009	2.746	0.666
	"25-29 years"	"25-29"	"Georgia"	"13"	"2005"	"2005"	26	629572	4.130	0.810
	"25-29 years"	"25-29"	"Georgia"	"13"	"2007"	"2007"	16	671612	2.382	0.596
	"25-29 years"	"25-29"	"Georgia"	"13"	"2008"	"2008"	16	681298	2.348	0.587
	"25-29 years"	"25-29"	"Georgia"	"13"	"2009"	"2009"	17	683221	2.488	0.603
	"25-29 years"	"25-29"	"Georgia"	"13"	"2010"	"2010"	23	673538	3.415	0.712
	"25-29 years"	"25-29"	"Georgia"	"13"	"2012"	"2012"	19	675882	2.811	0.645
	"25-29 years"	"25-29"	"Georgia"	"13"	"2013"	"2013"	17	678113	2.507	0.608
	"25-29 years"	"25-29"	"Georgia"	"13"	"2014"	"2014"	20	692472	2.888	0.646
	"25-29 years"	"25-29"	"Georgia"	"13"	"2016"	"2016"	16	734063	2.180	0.545
	"25-29 years"	"25-29"	"Georgia"	"13"	"2017"	"2017"	19	753377	2.522	0.579
	"25-29 years"	"25-29"	"Georgia"	"13"	"2018"	"2018"	18	766177	2.349	0.554
	"25-29 years"	"25-29"	"Illinois"	"17"	"1999"	"1999"	25	897285	2.786	0.557
	"25-29 years"	"25-29"	"Illinois"	"17"	"2000"	"2000"	24	886378	2.708	0.553
	"25-29 years"	"25-29"	"Illinois"	"17"	"2001"	"2001"	24	864728	2.775	0.567
	"25-29 years"	"25-29"	"Illinois"	"17"	"2002"	"2002"	17	855133	1.988	0.482
	"25-29 years"	"25-29"	"Illinois"	"17"	"2003"	"2003"	28	851314	3.289	0.622
	"25-29 years"	"25-29"	"Illinois"	"17"	"2004"	"2004"	36	855707	4.207	0.701
	"25-29 years"	"25-29"	"Illinois"	"17"	"2005"	"2005"	17	866083	1.963	0.476
	"25-29 years"	"25-29"	"Illinois"	"17"	"2006"	"2006"	24	885291	2.711	0.553
	"25-29 years"	"25-29"	"Illinois"	"17"	"2007"	"2007"	34	896088	3.794	0.651
	"25-29 years"	"25-29"	"Illinois"	"17"	"2008"	"2008"	29	910258	3.186	0.592
	"25-29 years"	"25-29"	"Illinois"	"17"	"2009"	"2009"	30	914697	3.280	0.599
	"25-29 years"	"25-29"	"Illinois"	"17"	"2010"	"2010"	27	909775	2.968	0.571
	"25-29 years"	"25-29"	"Illinois"	"17"	"2011"	"2011"	28	906341	3.089	0.584
	"25-29 years"	"25-29"	"Illinois"	"17"	"2012"	"2012"	24	899342	2.669	0.545
	"25-29 years"	"25-29"	"Illinois"	"17"	"2013"	"2013"	16	897448	1.783	0.446
	"25-29 years"	"25-29"	"Illinois"	"17"	"2014"	"2014"	31	896155	3.459	0.621
	"25-29 years"	"25-29"	"Illinois"	"17"	"2015"	"2015"	36	895277	4.021	0.670
	"25-29 years"	"25-29"	"Illinois"	"17"	"2016"	"2016"	28	898053	3.118	0.589
	"25-29 years"	"25-29"	"Illinois"	"17"	"2017"	"2017"	26	902796	2.880	0.565
	"25-29 years"	"25-29"	"Illinois"	"17"	"2018"	"2018"	35	900897	3.885	0.657
	"25-29 years"	"25-29"	"Indiana"	"18"	"2008"	"2008"	21	423360	4.960	1.082
	"25-29 years"	"25-29"	"Indiana"	"18"	"2010"	"2010"	20	419393	4.769	1.066
	"25-29 years"	"25-29"	"Indiana"	"18"	"2011"	"2011"	17	416713	4.080	0.989
	"25-29 years"	"25-29"	"Indiana"	"18"	"2013"	"2013"	18	416346	4.323	1.019
	"25-29 years"	"25-29"	"Indiana"	"18"	"2015"	"2015"	17	427369	3.978	0.965
	"25-29 years"	"25-29"	"Indiana"	"18"	"2016"	"2016"	19	437797	4.340	0.996
	"25-29 years"	"25-29"	"Indiana"	"18"	"2018"	"2018"	18	459451	3.918	0.923
	"25-29 years"	"25-29"	"Maryland"	"24"	"2000"	"2000"	18	341001	5.279	1.244
	"25-29 years"	"25-29"	"Maryland"	"24"	"2014"	"2014"	21	414433	5.067	1.106
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"1999"	"1999"	16	455310	3.514	0.879
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"2007"	"2007"	20	419757	4.765	1.065
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"2012"	"2012"	22	469338	4.687	0.999
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"2013"	"2013"	20	479548	4.171	0.933
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"2015"	"2015"	23	493740	4.658	0.971
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"2016"	"2016"	18	496799	3.623	0.854
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"2017"	"2017"	20	501881	3.985	0.891
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"2018"	"2018"	21	504548	4.162	0.908
	"25-29 years"	"25-29"	"Michigan"	"26"	"1999"	"1999"	16	667971	2.395	0.599
	"25-29 years"	"25-29"	"Michigan"	"26"	"2000"	"2000"	30	649448	4.619	0.843
	"25-29 years"	"25-29"	"Michigan"	"26"	"2001"	"2001"	20	618999	3.231	0.722
	"25-29 years"	"25-29"	"Michigan"	"26"	"2002"	"2002"	21	600098	3.499	0.764
	"25-29 years"	"25-29"	"Michigan"	"26"	"2003"	"2003"	33	593546	5.560	0.968
	"25-29 years"	"25-29"	"Michigan"	"26"	"2004"	"2004"	19	593967	3.199	0.734
	"25-29 years"	"25-29"	"Michigan"	"26"	"2005"	"2005"	24	598306	4.011	0.819
	"25-29 years"	"25-29"	"Michigan"	"26"	"2006"	"2006"	23	608963	3.777	0.788
	"25-29 years"	"25-29"	"Michigan"	"26"	"2007"	"2007"	19	610734	3.111	0.714
	"25-29 years"	"25-29"	"Michigan"	"26"	"2008"	"2008"	20	605221	3.305	0.739
	"25-29 years"	"25-29"	"Michigan"	"26"	"2009"	"2009"	20	595444	3.359	0.751
	"25-29 years"	"25-29"	"Michigan"	"26"	"2011"	"2011"	23	586782	3.920	0.817
	"25-29 years"	"25-29"	"Michigan"	"26"	"2013"	"2013"	21	591994	3.547	0.774
	"25-29 years"	"25-29"	"Michigan"	"26"	"2014"	"2014"	20	606500	3.298	0.737
	"25-29 years"	"25-29"	"Michigan"	"26"	"2015"	"2015"	27	627769	4.301	0.828
	"25-29 years"	"25-29"	"Michigan"	"26"	"2016"	"2016"	24	655226	3.663	0.748
	"25-29 years"	"25-29"	"Michigan"	"26"	"2017"	"2017"	19	679098	2.798	0.642
	"25-29 years"	"25-29"	"Michigan"	"26"	"2018"	"2018"	16	693017	2.309	0.577
	"25-29 years"	"25-29"	"Minnesota"	"27"	"2018"	"2018"	20	375904	5.321	1.190
	"25-29 years"	"25-29"	"Missouri"	"29"	"2003"	"2003"	16	347369	4.606	1.152
	"25-29 years"	"25-29"	"Missouri"	"29"	"2006"	"2006"	18	380893	4.726	1.114
	"25-29 years"	"25-29"	"Missouri"	"29"	"2011"	"2011"	16	403545	3.965	0.991
	"25-29 years"	"25-29"	"Missouri"	"29"	"2013"	"2013"	17	398206	4.269	1.035
	"25-29 years"	"25-29"	"Missouri"	"29"	"2018"	"2018"	16	425525	3.760	0.940
	"25-29 years"	"25-29"	"New Jersey"	"34"	"1999"	"1999"	16	548811	2.915	0.729
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2000"	"2000"	18	542142	3.320	0.783
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2002"	"2002"	20	524707	3.812	0.852
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2003"	"2003"	20	525255	3.808	0.851
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2006"	"2006"	20	536270	3.729	0.834
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2007"	"2007"	16	540877	2.958	0.740
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2008"	"2008"	18	548528	3.282	0.773
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2009"	"2009"	18	552276	3.259	0.768
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2010"	"2010"	17	553985	3.069	0.744
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2011"	"2011"	20	556434	3.594	0.804
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2012"	"2012"	20	555004	3.604	0.806
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2013"	"2013"	19	554351	3.427	0.786
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2014"	"2014"	27	555254	4.863	0.936
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2015"	"2015"	20	558474	3.581	0.801
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2017"	"2017"	21	571691	3.673	0.802
	"25-29 years"	"25-29"	"New Jersey"	"34"	"2018"	"2018"	22	578101	3.806	0.811
	"25-29 years"	"25-29"	"New York"	"36"	"1999"	"1999"	37	1336334	2.769	0.455
	"25-29 years"	"25-29"	"New York"	"36"	"2000"	"2000"	37	1298254	2.850	0.469
	"25-29 years"	"25-29"	"New York"	"36"	"2001"	"2001"	44	1266709	3.474	0.524
	"25-29 years"	"25-29"	"New York"	"36"	"2002"	"2002"	41	1265507	3.240	0.506
	"25-29 years"	"25-29"	"New York"	"36"	"2003"	"2003"	42	1278915	3.284	0.507
	"25-29 years"	"25-29"	"New York"	"36"	"2004"	"2004"	45	1294342	3.477	0.518
	"25-29 years"	"25-29"	"New York"	"36"	"2005"	"2005"	37	1309477	2.826	0.465
	"25-29 years"	"25-29"	"New York"	"36"	"2006"	"2006"	32	1326593	2.412	0.426
	"25-29 years"	"25-29"	"New York"	"36"	"2007"	"2007"	54	1335918	4.042	0.550
	"25-29 years"	"25-29"	"New York"	"36"	"2008"	"2008"	48	1357609	3.536	0.510
	"25-29 years"	"25-29"	"New York"	"36"	"2009"	"2009"	49	1373104	3.569	0.510
	"25-29 years"	"25-29"	"New York"	"36"	"2010"	"2010"	34	1385175	2.455	0.421
	"25-29 years"	"25-29"	"New York"	"36"	"2011"	"2011"	42	1409054	2.981	0.460
	"25-29 years"	"25-29"	"New York"	"36"	"2012"	"2012"	39	1427522	2.732	0.437
	"25-29 years"	"25-29"	"New York"	"36"	"2013"	"2013"	51	1446732	3.525	0.494
	"25-29 years"	"25-29"	"New York"	"36"	"2014"	"2014"	43	1466635	2.932	0.447
	"25-29 years"	"25-29"	"New York"	"36"	"2015"	"2015"	44	1484061	2.965	0.447
	"25-29 years"	"25-29"	"New York"	"36"	"2016"	"2016"	37	1493939	2.477	0.407
	"25-29 years"	"25-29"	"New York"	"36"	"2017"	"2017"	44	1490846	2.951	0.445
	"25-29 years"	"25-29"	"New York"	"36"	"2018"	"2018"	52	1481710	3.509	0.487
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2000"	"2000"	20	599470	3.336	0.746
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2001"	"2001"	18	580233	3.102	0.731
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2002"	"2002"	21	567593	3.700	0.807
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2004"	"2004"	16	564173	2.836	0.709
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2005"	"2005"	16	567184	2.821	0.705
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2006"	"2006"	22	581602	3.783	0.806
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2007"	"2007"	25	594944	4.202	0.840
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2008"	"2008"	17	610065	2.787	0.676
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2009"	"2009"	27	620481	4.351	0.837
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2010"	"2010"	28	630056	4.444	0.840
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2011"	"2011"	18	631338	2.851	0.672
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2012"	"2012"	21	633343	3.316	0.724
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2013"	"2013"	23	641697	3.584	0.747
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2014"	"2014"	22	656091	3.353	0.715
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2016"	"2016"	17	696354	2.441	0.592
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2017"	"2017"	22	715193	3.076	0.656
	"25-29 years"	"25-29"	"North Carolina"	"37"	"2018"	"2018"	20	727477	2.749	0.615
	"25-29 years"	"25-29"	"Ohio"	"39"	"1999"	"1999"	32	751195	4.260	0.753
	"25-29 years"	"25-29"	"Ohio"	"39"	"2000"	"2000"	22	728873	3.018	0.644
	"25-29 years"	"25-29"	"Ohio"	"39"	"2001"	"2001"	25	700830	3.567	0.713
	"25-29 years"	"25-29"	"Ohio"	"39"	"2003"	"2003"	19	695460	2.732	0.627
	"25-29 years"	"25-29"	"Ohio"	"39"	"2004"	"2004"	18	709581	2.537	0.598
	"25-29 years"	"25-29"	"Ohio"	"39"	"2005"	"2005"	30	725714	4.134	0.755
	"25-29 years"	"25-29"	"Ohio"	"39"	"2006"	"2006"	28	739109	3.788	0.716
	"25-29 years"	"25-29"	"Ohio"	"39"	"2007"	"2007"	27	745854	3.620	0.697
	"25-29 years"	"25-29"	"Ohio"	"39"	"2008"	"2008"	29	741612	3.910	0.726
	"25-29 years"	"25-29"	"Ohio"	"39"	"2009"	"2009"	25	728925	3.430	0.686
	"25-29 years"	"25-29"	"Ohio"	"39"	"2010"	"2010"	26	718759	3.617	0.709
	"25-29 years"	"25-29"	"Ohio"	"39"	"2011"	"2011"	24	718288	3.341	0.682
	"25-29 years"	"25-29"	"Ohio"	"39"	"2012"	"2012"	17	718451	2.366	0.574
	"25-29 years"	"25-29"	"Ohio"	"39"	"2013"	"2013"	17	729296	2.331	0.565
	"25-29 years"	"25-29"	"Ohio"	"39"	"2014"	"2014"	29	747595	3.879	0.720
	"25-29 years"	"25-29"	"Ohio"	"39"	"2015"	"2015"	21	764337	2.747	0.600
	"25-29 years"	"25-29"	"Ohio"	"39"	"2016"	"2016"	29	781546	3.711	0.689
	"25-29 years"	"25-29"	"Ohio"	"39"	"2017"	"2017"	26	797771	3.259	0.639
	"25-29 years"	"25-29"	"Ohio"	"39"	"2018"	"2018"	19	804917	2.360	0.542
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"2016"	"2016"	18	277310	6.491	1.530
	"25-29 years"	"25-29"	"Oregon"	"41"	"2012"	"2012"	16	263318	6.076	1.519
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"1999"	"1999"	26	760654	3.418	0.670
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2000"	"2000"	19	726167	2.616	0.600
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2001"	"2001"	22	697766	3.153	0.672
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2002"	"2002"	20	690461	2.897	0.648
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2003"	"2003"	17	699951	2.429	0.589
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2004"	"2004"	26	716593	3.628	0.712
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2005"	"2005"	23	734921	3.130	0.653
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2006"	"2006"	28	752467	3.721	0.703
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2007"	"2007"	32	765355	4.181	0.739
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2008"	"2008"	21	775864	2.707	0.591
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2009"	"2009"	20	779944	2.564	0.573
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2010"	"2010"	29	785447	3.692	0.686
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2011"	"2011"	23	799584	2.876	0.600
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2012"	"2012"	32	811453	3.944	0.697
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2013"	"2013"	30	825679	3.633	0.663
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2014"	"2014"	26	844187	3.080	0.604
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2015"	"2015"	28	857675	3.265	0.617
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2016"	"2016"	32	864508	3.702	0.654
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2017"	"2017"	26	870102	2.988	0.586
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"2018"	"2018"	23	869308	2.646	0.552
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2001"	"2001"	17	386285	4.401	1.067
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2002"	"2002"	19	379507	5.006	1.149
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2006"	"2006"	17	414933	4.097	0.994
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2007"	"2007"	18	423556	4.250	1.002
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2008"	"2008"	19	422783	4.494	1.031
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2009"	"2009"	20	421192	4.748	1.062
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2010"	"2010"	19	417679	4.549	1.044
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2011"	"2011"	21	417846	5.026	1.097
	"25-29 years"	"25-29"	"Tennessee"	"47"	"2015"	"2015"	17	449868	3.779	0.917
	"25-29 years"	"25-29"	"Texas"	"48"	"1999"	"1999"	44	1574407	2.795	0.421
	"25-29 years"	"25-29"	"Texas"	"48"	"2000"	"2000"	33	1587889	2.078	0.362
	"25-29 years"	"25-29"	"Texas"	"48"	"2001"	"2001"	48	1575256	3.047	0.440
	"25-29 years"	"25-29"	"Texas"	"48"	"2002"	"2002"	42	1576140	2.665	0.411
	"25-29 years"	"25-29"	"Texas"	"48"	"2003"	"2003"	46	1577842	2.915	0.430
	"25-29 years"	"25-29"	"Texas"	"48"	"2004"	"2004"	51	1602338	3.183	0.446
	"25-29 years"	"25-29"	"Texas"	"48"	"2005"	"2005"	60	1642183	3.654	0.472
	"25-29 years"	"25-29"	"Texas"	"48"	"2006"	"2006"	58	1704518	3.403	0.447
	"25-29 years"	"25-29"	"Texas"	"48"	"2007"	"2007"	55	1758363	3.128	0.422
	"25-29 years"	"25-29"	"Texas"	"48"	"2008"	"2008"	57	1810114	3.149	0.417
	"25-29 years"	"25-29"	"Texas"	"48"	"2009"	"2009"	65	1841744	3.529	0.438
	"25-29 years"	"25-29"	"Texas"	"48"	"2010"	"2010"	52	1858683	2.798	0.388
	"25-29 years"	"25-29"	"Texas"	"48"	"2011"	"2011"	52	1881423	2.764	0.383
	"25-29 years"	"25-29"	"Texas"	"48"	"2012"	"2012"	66	1904802	3.465	0.427
	"25-29 years"	"25-29"	"Texas"	"48"	"2013"	"2013"	58	1927503	3.009	0.395
	"25-29 years"	"25-29"	"Texas"	"48"	"2014"	"2014"	49	1975190	2.481	0.354
	"25-29 years"	"25-29"	"Texas"	"48"	"2015"	"2015"	48	2031444	2.363	0.341
	"25-29 years"	"25-29"	"Texas"	"48"	"2016"	"2016"	43	2083268	2.064	0.315
