"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"50-54 years"	"50-54"	"South Carolina"	"45"	"2016"	"2016"	23	334998	6.866	1.432
	"50-54 years"	"50-54"	"South Carolina"	"45"	"2017"	"2017"	19	330740	5.745	1.318
	"50-54 years"	"50-54"	"South Carolina"	"45"	"2018"	"2018"	19	326569	5.818	1.335
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2000"	"2000"	27	378483	7.134	1.373
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2001"	"2001"	26	395479	6.574	1.289
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2002"	"2002"	39	394085	9.896	1.585
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2003"	"2003"	31	398100	7.787	1.399
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2004"	"2004"	30	405284	7.402	1.351
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2005"	"2005"	34	415143	8.190	1.405
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2006"	"2006"	29	426578	6.798	1.262
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2007"	"2007"	23	437733	5.254	1.096
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2008"	"2008"	19	449052	4.231	0.971
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2009"	"2009"	35	454222	7.705	1.302
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2010"	"2010"	25	459917	5.436	1.087
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2011"	"2011"	19	462785	4.106	0.942
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2012"	"2012"	31	462529	6.702	1.204
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2013"	"2013"	34	462833	7.346	1.260
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2014"	"2014"	25	464665	5.380	1.076
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2015"	"2015"	20	461968	4.329	0.968
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2016"	"2016"	33	455261	7.249	1.262
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2017"	"2017"	26	448253	5.800	1.138
	"50-54 years"	"50-54"	"Tennessee"	"47"	"2018"	"2018"	25	440021	5.682	1.136
	"50-54 years"	"50-54"	"Texas"	"48"	"1999"	"1999"	76	1146781	6.627	0.760
	"50-54 years"	"50-54"	"Texas"	"48"	"2000"	"2000"	77	1210389	6.362	0.725
	"50-54 years"	"50-54"	"Texas"	"48"	"2001"	"2001"	81	1279357	6.331	0.703
	"50-54 years"	"50-54"	"Texas"	"48"	"2002"	"2002"	81	1294259	6.258	0.695
	"50-54 years"	"50-54"	"Texas"	"48"	"2003"	"2003"	77	1334425	5.770	0.658
	"50-54 years"	"50-54"	"Texas"	"48"	"2004"	"2004"	72	1380116	5.217	0.615
	"50-54 years"	"50-54"	"Texas"	"48"	"2005"	"2005"	64	1429664	4.477	0.560
	"50-54 years"	"50-54"	"Texas"	"48"	"2006"	"2006"	76	1486845	5.111	0.586
	"50-54 years"	"50-54"	"Texas"	"48"	"2007"	"2007"	74	1547906	4.781	0.556
	"50-54 years"	"50-54"	"Texas"	"48"	"2008"	"2008"	67	1597310	4.195	0.512
	"50-54 years"	"50-54"	"Texas"	"48"	"2009"	"2009"	78	1640523	4.755	0.538
	"50-54 years"	"50-54"	"Texas"	"48"	"2010"	"2010"	87	1682570	5.171	0.554
	"50-54 years"	"50-54"	"Texas"	"48"	"2011"	"2011"	65	1712554	3.796	0.471
	"50-54 years"	"50-54"	"Texas"	"48"	"2012"	"2012"	80	1731418	4.620	0.517
	"50-54 years"	"50-54"	"Texas"	"48"	"2013"	"2013"	81	1745143	4.641	0.516
	"50-54 years"	"50-54"	"Texas"	"48"	"2014"	"2014"	103	1758371	5.858	0.577
	"50-54 years"	"50-54"	"Texas"	"48"	"2015"	"2015"	89	1754663	5.072	0.538
	"50-54 years"	"50-54"	"Texas"	"48"	"2016"	"2016"	92	1737208	5.296	0.552
	"50-54 years"	"50-54"	"Texas"	"48"	"2017"	"2017"	81	1716772	4.718	0.524
	"50-54 years"	"50-54"	"Texas"	"48"	"2018"	"2018"	75	1702180	4.406	0.509
	"50-54 years"	"50-54"	"Virginia"	"51"	"1999"	"1999"	21	457163	4.594	1.002
	"50-54 years"	"50-54"	"Virginia"	"51"	"2000"	"2000"	24	479167	5.009	1.022
	"50-54 years"	"50-54"	"Virginia"	"51"	"2001"	"2001"	37	501088	7.384	1.214
	"50-54 years"	"50-54"	"Virginia"	"51"	"2002"	"2002"	35	498918	7.015	1.186
	"50-54 years"	"50-54"	"Virginia"	"51"	"2003"	"2003"	24	504652	4.756	0.971
	"50-54 years"	"50-54"	"Virginia"	"51"	"2004"	"2004"	19	515928	3.683	0.845
	"50-54 years"	"50-54"	"Virginia"	"51"	"2005"	"2005"	24	529160	4.535	0.926
	"50-54 years"	"50-54"	"Virginia"	"51"	"2006"	"2006"	22	542719	4.054	0.864
	"50-54 years"	"50-54"	"Virginia"	"51"	"2007"	"2007"	22	557935	3.943	0.841
	"50-54 years"	"50-54"	"Virginia"	"51"	"2008"	"2008"	29	571798	5.072	0.942
	"50-54 years"	"50-54"	"Virginia"	"51"	"2009"	"2009"	19	584533	3.250	0.746
	"50-54 years"	"50-54"	"Virginia"	"51"	"2010"	"2010"	24	594906	4.034	0.823
	"50-54 years"	"50-54"	"Virginia"	"51"	"2011"	"2011"	38	602838	6.304	1.023
	"50-54 years"	"50-54"	"Virginia"	"51"	"2012"	"2012"	34	606536	5.606	0.961
	"50-54 years"	"50-54"	"Virginia"	"51"	"2013"	"2013"	36	609454	5.907	0.984
	"50-54 years"	"50-54"	"Virginia"	"51"	"2014"	"2014"	31	611427	5.070	0.911
	"50-54 years"	"50-54"	"Virginia"	"51"	"2015"	"2015"	28	606487	4.617	0.872
	"50-54 years"	"50-54"	"Virginia"	"51"	"2016"	"2016"	33	594424	5.552	0.966
	"50-54 years"	"50-54"	"Virginia"	"51"	"2017"	"2017"	34	581647	5.845	1.002
	"50-54 years"	"50-54"	"Virginia"	"51"	"2018"	"2018"	27	566660	4.765	0.917
	"50-54 years"	"50-54"	"Washington"	"53"	"1999"	"1999"	32	377487	8.477	1.499
	"50-54 years"	"50-54"	"Washington"	"53"	"2000"	"2000"	30	395872	7.578	1.384
	"50-54 years"	"50-54"	"Washington"	"53"	"2001"	"2001"	40	417686	9.577	1.514
	"50-54 years"	"50-54"	"Washington"	"53"	"2002"	"2002"	26	419416	6.199	1.216
	"50-54 years"	"50-54"	"Washington"	"53"	"2003"	"2003"	34	430715	7.894	1.354
	"50-54 years"	"50-54"	"Washington"	"53"	"2004"	"2004"	25	443785	5.633	1.127
	"50-54 years"	"50-54"	"Washington"	"53"	"2005"	"2005"	35	456026	7.675	1.297
	"50-54 years"	"50-54"	"Washington"	"53"	"2006"	"2006"	34	467980	7.265	1.246
	"50-54 years"	"50-54"	"Washington"	"53"	"2007"	"2007"	37	480601	7.699	1.266
	"50-54 years"	"50-54"	"Washington"	"53"	"2008"	"2008"	28	487865	5.739	1.085
	"50-54 years"	"50-54"	"Washington"	"53"	"2009"	"2009"	33	491796	6.710	1.168
	"50-54 years"	"50-54"	"Washington"	"53"	"2010"	"2010"	32	495998	6.452	1.140
	"50-54 years"	"50-54"	"Washington"	"53"	"2011"	"2011"	37	498619	7.420	1.220
	"50-54 years"	"50-54"	"Washington"	"53"	"2012"	"2012"	30	497177	6.034	1.102
	"50-54 years"	"50-54"	"Washington"	"53"	"2013"	"2013"	28	495533	5.650	1.068
	"50-54 years"	"50-54"	"Washington"	"53"	"2014"	"2014"	36	492810	7.305	1.218
	"50-54 years"	"50-54"	"Washington"	"53"	"2015"	"2015"	35	486462	7.195	1.216
	"50-54 years"	"50-54"	"Washington"	"53"	"2016"	"2016"	34	475947	7.144	1.225
	"50-54 years"	"50-54"	"Washington"	"53"	"2017"	"2017"	41	466676	8.786	1.372
	"50-54 years"	"50-54"	"Washington"	"53"	"2018"	"2018"	27	458277	5.892	1.134
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"1999"	"1999"	21	320353	6.555	1.430
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2000"	"2000"	28	337938	8.286	1.566
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2001"	"2001"	26	357871	7.265	1.425
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2002"	"2002"	24	363810	6.597	1.347
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2003"	"2003"	23	374088	6.148	1.282
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2004"	"2004"	24	385152	6.231	1.272
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2005"	"2005"	24	396444	6.054	1.236
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2006"	"2006"	26	405963	6.405	1.256
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2007"	"2007"	25	414618	6.030	1.206
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2008"	"2008"	28	423776	6.607	1.249
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2009"	"2009"	31	430967	7.193	1.292
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2010"	"2010"	24	437166	5.490	1.121
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2011"	"2011"	32	442545	7.231	1.278
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2012"	"2012"	34	442072	7.691	1.319
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2013"	"2013"	29	439087	6.605	1.226
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2014"	"2014"	19	434572	4.372	1.003
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2015"	"2015"	27	425313	6.348	1.222
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2016"	"2016"	21	411327	5.105	1.114
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2017"	"2017"	35	398519	8.783	1.485
	"50-54 years"	"50-54"	"Wisconsin"	"55"	"2018"	"2018"	20	384827	5.197	1.162
	"55-59 years"	"55-59"	"Alabama"	"01"	"1999"	"1999"	19	220728	8.608	1.975
	"55-59 years"	"55-59"	"Alabama"	"01"	"2000"	"2000"	16	226761	7.056	1.764
	"55-59 years"	"55-59"	"Alabama"	"01"	"2001"	"2001"	26	231202	11.246	2.205
	"55-59 years"	"55-59"	"Alabama"	"01"	"2002"	"2002"	30	248643	12.065	2.203
	"55-59 years"	"55-59"	"Alabama"	"01"	"2003"	"2003"	22	258551	8.509	1.814
	"55-59 years"	"55-59"	"Alabama"	"01"	"2004"	"2004"	24	270380	8.876	1.812
	"55-59 years"	"55-59"	"Alabama"	"01"	"2005"	"2005"	24	284032	8.450	1.725
	"55-59 years"	"55-59"	"Alabama"	"01"	"2006"	"2006"	28	297745	9.404	1.777
	"55-59 years"	"55-59"	"Alabama"	"01"	"2007"	"2007"	26	298032	8.724	1.711
	"55-59 years"	"55-59"	"Alabama"	"01"	"2008"	"2008"	25	301833	8.283	1.657
	"55-59 years"	"55-59"	"Alabama"	"01"	"2009"	"2009"	27	307017	8.794	1.692
	"55-59 years"	"55-59"	"Alabama"	"01"	"2010"	"2010"	27	314040	8.598	1.655
	"55-59 years"	"55-59"	"Alabama"	"01"	"2011"	"2011"	39	320503	12.168	1.948
	"55-59 years"	"55-59"	"Alabama"	"01"	"2012"	"2012"	43	327662	13.123	2.001
	"55-59 years"	"55-59"	"Alabama"	"01"	"2013"	"2013"	36	332709	10.820	1.803
	"55-59 years"	"55-59"	"Alabama"	"01"	"2014"	"2014"	41	334850	12.244	1.912
	"55-59 years"	"55-59"	"Alabama"	"01"	"2015"	"2015"	28	337409	8.299	1.568
	"55-59 years"	"55-59"	"Alabama"	"01"	"2016"	"2016"	31	338473	9.159	1.645
	"55-59 years"	"55-59"	"Alabama"	"01"	"2017"	"2017"	21	337336	6.225	1.358
	"55-59 years"	"55-59"	"Alabama"	"01"	"2018"	"2018"	27	336525	8.023	1.544
	"55-59 years"	"55-59"	"Arizona"	"04"	"1999"	"1999"	16	229310	6.977	1.744
	"55-59 years"	"55-59"	"Arizona"	"04"	"2001"	"2001"	18	251367	7.161	1.688
	"55-59 years"	"55-59"	"Arizona"	"04"	"2002"	"2002"	22	273288	8.050	1.716
	"55-59 years"	"55-59"	"Arizona"	"04"	"2003"	"2003"	18	288991	6.229	1.468
	"55-59 years"	"55-59"	"Arizona"	"04"	"2004"	"2004"	25	306685	8.152	1.630
	"55-59 years"	"55-59"	"Arizona"	"04"	"2005"	"2005"	25	328711	7.605	1.521
	"55-59 years"	"55-59"	"Arizona"	"04"	"2006"	"2006"	25	350991	7.123	1.425
	"55-59 years"	"55-59"	"Arizona"	"04"	"2007"	"2007"	29	356562	8.133	1.510
	"55-59 years"	"55-59"	"Arizona"	"04"	"2008"	"2008"	19	361835	5.251	1.205
	"55-59 years"	"55-59"	"Arizona"	"04"	"2009"	"2009"	26	369424	7.038	1.380
	"55-59 years"	"55-59"	"Arizona"	"04"	"2010"	"2010"	30	377427	7.949	1.451
	"55-59 years"	"55-59"	"Arizona"	"04"	"2011"	"2011"	28	385602	7.261	1.372
	"55-59 years"	"55-59"	"Arizona"	"04"	"2012"	"2012"	38	396151	9.592	1.556
	"55-59 years"	"55-59"	"Arizona"	"04"	"2013"	"2013"	38	404825	9.387	1.523
	"55-59 years"	"55-59"	"Arizona"	"04"	"2014"	"2014"	33	412673	7.997	1.392
	"55-59 years"	"55-59"	"Arizona"	"04"	"2015"	"2015"	37	421945	8.769	1.442
	"55-59 years"	"55-59"	"Arizona"	"04"	"2016"	"2016"	28	430836	6.499	1.228
	"55-59 years"	"55-59"	"Arizona"	"04"	"2017"	"2017"	37	435976	8.487	1.395
	"55-59 years"	"55-59"	"Arizona"	"04"	"2018"	"2018"	36	441140	8.161	1.360
	"55-59 years"	"55-59"	"Arkansas"	"05"	"1999"	"1999"	21	135264	15.525	3.388
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2003"	"2003"	22	156775	14.033	2.992
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2004"	"2004"	16	163147	9.807	2.452
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2007"	"2007"	19	177053	10.731	2.462
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2008"	"2008"	23	178827	12.862	2.682
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2011"	"2011"	26	188156	13.818	2.710
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2013"	"2013"	21	193210	10.869	2.372
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2014"	"2014"	17	194241	8.752	2.123
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2015"	"2015"	20	195949	10.207	2.282
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2016"	"2016"	18	197489	9.114	2.148
	"55-59 years"	"55-59"	"Arkansas"	"05"	"2017"	"2017"	20	197475	10.128	2.265
	"55-59 years"	"55-59"	"California"	"06"	"1999"	"1999"	137	1415902	9.676	0.827
	"55-59 years"	"55-59"	"California"	"06"	"2000"	"2000"	115	1477507	7.783	0.726
	"55-59 years"	"55-59"	"California"	"06"	"2001"	"2001"	125	1540553	8.114	0.726
	"55-59 years"	"55-59"	"California"	"06"	"2002"	"2002"	148	1676464	8.828	0.726
	"55-59 years"	"55-59"	"California"	"06"	"2003"	"2003"	143	1763722	8.108	0.678
	"55-59 years"	"55-59"	"California"	"06"	"2004"	"2004"	150	1854291	8.089	0.660
	"55-59 years"	"55-59"	"California"	"06"	"2005"	"2005"	156	1952482	7.990	0.640
	"55-59 years"	"55-59"	"California"	"06"	"2006"	"2006"	158	2037929	7.753	0.617
	"55-59 years"	"55-59"	"California"	"06"	"2007"	"2007"	167	2043625	8.172	0.632
	"55-59 years"	"55-59"	"California"	"06"	"2008"	"2008"	160	2094639	7.639	0.604
	"55-59 years"	"55-59"	"California"	"06"	"2009"	"2009"	153	2156126	7.096	0.574
	"55-59 years"	"55-59"	"California"	"06"	"2010"	"2010"	167	2219922	7.523	0.582
	"55-59 years"	"55-59"	"California"	"06"	"2011"	"2011"	187	2282345	8.193	0.599
	"55-59 years"	"55-59"	"California"	"06"	"2012"	"2012"	186	2348409	7.920	0.581
	"55-59 years"	"55-59"	"California"	"06"	"2013"	"2013"	180	2400663	7.498	0.559
	"55-59 years"	"55-59"	"California"	"06"	"2014"	"2014"	187	2438233	7.669	0.561
	"55-59 years"	"55-59"	"California"	"06"	"2015"	"2015"	172	2479955	6.936	0.529
	"55-59 years"	"55-59"	"California"	"06"	"2016"	"2016"	202	2505990	8.061	0.567
	"55-59 years"	"55-59"	"California"	"06"	"2017"	"2017"	203	2512344	8.080	0.567
	"55-59 years"	"55-59"	"California"	"06"	"2018"	"2018"	203	2512991	8.078	0.567
	"55-59 years"	"55-59"	"Colorado"	"08"	"2000"	"2000"	20	196749	10.165	2.273
	"55-59 years"	"55-59"	"Colorado"	"08"	"2002"	"2002"	21	228179	9.203	2.008
	"55-59 years"	"55-59"	"Colorado"	"08"	"2003"	"2003"	17	243088	6.993	1.696
	"55-59 years"	"55-59"	"Colorado"	"08"	"2004"	"2004"	18	258091	6.974	1.644
	"55-59 years"	"55-59"	"Colorado"	"08"	"2005"	"2005"	25	276139	9.053	1.811
	"55-59 years"	"55-59"	"Colorado"	"08"	"2006"	"2006"	19	295417	6.432	1.476
	"55-59 years"	"55-59"	"Colorado"	"08"	"2007"	"2007"	16	300917	5.317	1.329
	"55-59 years"	"55-59"	"Colorado"	"08"	"2008"	"2008"	25	311073	8.037	1.607
	"55-59 years"	"55-59"	"Colorado"	"08"	"2009"	"2009"	24	321695	7.460	1.523
	"55-59 years"	"55-59"	"Colorado"	"08"	"2010"	"2010"	29	330713	8.769	1.628
	"55-59 years"	"55-59"	"Colorado"	"08"	"2011"	"2011"	20	339228	5.896	1.318
	"55-59 years"	"55-59"	"Colorado"	"08"	"2012"	"2012"	29	347821	8.338	1.548
	"55-59 years"	"55-59"	"Colorado"	"08"	"2013"	"2013"	29	353903	8.194	1.522
	"55-59 years"	"55-59"	"Colorado"	"08"	"2014"	"2014"	33	358923	9.194	1.601
	"55-59 years"	"55-59"	"Colorado"	"08"	"2015"	"2015"	27	364787	7.402	1.424
	"55-59 years"	"55-59"	"Colorado"	"08"	"2016"	"2016"	33	369337	8.935	1.555
	"55-59 years"	"55-59"	"Colorado"	"08"	"2017"	"2017"	32	368700	8.679	1.534
	"55-59 years"	"55-59"	"Colorado"	"08"	"2018"	"2018"	23	367533	6.258	1.305
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2000"	"2000"	16	178114	8.983	2.246
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2004"	"2004"	22	211572	10.398	2.217
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2005"	"2005"	24	219671	10.925	2.230
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2009"	"2009"	18	234384	7.680	1.810
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2010"	"2010"	26	242306	10.730	2.104
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2012"	"2012"	16	257873	6.205	1.551
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2014"	"2014"	30	268218	11.185	2.042
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2015"	"2015"	23	271129	8.483	1.769
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2016"	"2016"	18	272794	6.598	1.555
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2017"	"2017"	20	271192	7.375	1.649
	"55-59 years"	"55-59"	"Connecticut"	"09"	"2018"	"2018"	20	269358	7.425	1.660
	"55-59 years"	"55-59"	"Florida"	"12"	"1999"	"1999"	68	789129	8.617	1.045
	"55-59 years"	"55-59"	"Florida"	"12"	"2000"	"2000"	64	829302	7.717	0.965
	"55-59 years"	"55-59"	"Florida"	"12"	"2001"	"2001"	68	861880	7.890	0.957
	"55-59 years"	"55-59"	"Florida"	"12"	"2002"	"2002"	76	937274	8.109	0.930
	"55-59 years"	"55-59"	"Florida"	"12"	"2003"	"2003"	76	981822	7.741	0.888
	"55-59 years"	"55-59"	"Florida"	"12"	"2004"	"2004"	89	1036034	8.590	0.911
	"55-59 years"	"55-59"	"Florida"	"12"	"2005"	"2005"	96	1096358	8.756	0.894
	"55-59 years"	"55-59"	"Florida"	"12"	"2006"	"2006"	96	1150141	8.347	0.852
	"55-59 years"	"55-59"	"Florida"	"12"	"2007"	"2007"	75	1151092	6.516	0.752
	"55-59 years"	"55-59"	"Florida"	"12"	"2008"	"2008"	74	1159372	6.383	0.742
	"55-59 years"	"55-59"	"Florida"	"12"	"2009"	"2009"	90	1179080	7.633	0.805
	"55-59 years"	"55-59"	"Florida"	"12"	"2010"	"2010"	76	1210128	6.280	0.720
	"55-59 years"	"55-59"	"Florida"	"12"	"2011"	"2011"	109	1238729	8.799	0.843
	"55-59 years"	"55-59"	"Florida"	"12"	"2012"	"2012"	104	1276092	8.150	0.799
	"55-59 years"	"55-59"	"Florida"	"12"	"2013"	"2013"	83	1308373	6.344	0.696
	"55-59 years"	"55-59"	"Florida"	"12"	"2014"	"2014"	102	1340345	7.610	0.754
	"55-59 years"	"55-59"	"Florida"	"12"	"2015"	"2015"	107	1377125	7.770	0.751
	"55-59 years"	"55-59"	"Florida"	"12"	"2016"	"2016"	92	1417152	6.492	0.677
	"55-59 years"	"55-59"	"Florida"	"12"	"2017"	"2017"	118	1443881	8.172	0.752
	"55-59 years"	"55-59"	"Florida"	"12"	"2018"	"2018"	108	1467417	7.360	0.708
	"55-59 years"	"55-59"	"Georgia"	"13"	"1999"	"1999"	27	362385	7.451	1.434
	"55-59 years"	"55-59"	"Georgia"	"13"	"2000"	"2000"	33	379438	8.697	1.514
	"55-59 years"	"55-59"	"Georgia"	"13"	"2001"	"2001"	35	393182	8.902	1.505
	"55-59 years"	"55-59"	"Georgia"	"13"	"2002"	"2002"	46	429690	10.705	1.578
	"55-59 years"	"55-59"	"Georgia"	"13"	"2003"	"2003"	32	453041	7.063	1.249
	"55-59 years"	"55-59"	"Georgia"	"13"	"2004"	"2004"	39	478477	8.151	1.305
	"55-59 years"	"55-59"	"Georgia"	"13"	"2005"	"2005"	25	508314	4.918	0.984
	"55-59 years"	"55-59"	"Georgia"	"13"	"2006"	"2006"	42	536414	7.830	1.208
	"55-59 years"	"55-59"	"Georgia"	"13"	"2007"	"2007"	27	540663	4.994	0.961
	"55-59 years"	"55-59"	"Georgia"	"13"	"2008"	"2008"	44	549947	8.001	1.206
	"55-59 years"	"55-59"	"Georgia"	"13"	"2009"	"2009"	37	562443	6.578	1.081
	"55-59 years"	"55-59"	"Georgia"	"13"	"2010"	"2010"	28	577875	4.845	0.916
	"55-59 years"	"55-59"	"Georgia"	"13"	"2011"	"2011"	41	593581	6.907	1.079
	"55-59 years"	"55-59"	"Georgia"	"13"	"2012"	"2012"	30	611718	4.904	0.895
	"55-59 years"	"55-59"	"Georgia"	"13"	"2013"	"2013"	59	625656	9.430	1.228
	"55-59 years"	"55-59"	"Georgia"	"13"	"2014"	"2014"	53	638055	8.306	1.141
	"55-59 years"	"55-59"	"Georgia"	"13"	"2015"	"2015"	54	652030	8.282	1.127
	"55-59 years"	"55-59"	"Georgia"	"13"	"2016"	"2016"	45	664682	6.770	1.009
	"55-59 years"	"55-59"	"Georgia"	"13"	"2017"	"2017"	44	672733	6.540	0.986
	"55-59 years"	"55-59"	"Georgia"	"13"	"2018"	"2018"	47	682264	6.889	1.005
	"55-59 years"	"55-59"	"Illinois"	"17"	"1999"	"1999"	43	567540	7.577	1.155
	"55-59 years"	"55-59"	"Illinois"	"17"	"2000"	"2000"	37	581134	6.367	1.047
	"55-59 years"	"55-59"	"Illinois"	"17"	"2001"	"2001"	56	592146	9.457	1.264
	"55-59 years"	"55-59"	"Illinois"	"17"	"2002"	"2002"	56	633979	8.833	1.180
	"55-59 years"	"55-59"	"Illinois"	"17"	"2003"	"2003"	55	655253	8.394	1.132
	"55-59 years"	"55-59"	"Illinois"	"17"	"2004"	"2004"	62	683028	9.077	1.153
	"55-59 years"	"55-59"	"Illinois"	"17"	"2005"	"2005"	36	720161	4.999	0.833
	"55-59 years"	"55-59"	"Illinois"	"17"	"2006"	"2006"	45	756726	5.947	0.886
	"55-59 years"	"55-59"	"Illinois"	"17"	"2007"	"2007"	59	757044	7.793	1.015
	"55-59 years"	"55-59"	"Illinois"	"17"	"2008"	"2008"	56	773071	7.244	0.968
	"55-59 years"	"55-59"	"Illinois"	"17"	"2009"	"2009"	61	792394	7.698	0.986
	"55-59 years"	"55-59"	"Illinois"	"17"	"2010"	"2010"	56	812820	6.890	0.921
	"55-59 years"	"55-59"	"Illinois"	"17"	"2011"	"2011"	58	831221	6.978	0.916
	"55-59 years"	"55-59"	"Illinois"	"17"	"2012"	"2012"	77	850738	9.051	1.031
	"55-59 years"	"55-59"	"Illinois"	"17"	"2013"	"2013"	66	866988	7.613	0.937
	"55-59 years"	"55-59"	"Illinois"	"17"	"2014"	"2014"	64	876888	7.299	0.912
	"55-59 years"	"55-59"	"Illinois"	"17"	"2015"	"2015"	68	883312	7.698	0.934
	"55-59 years"	"55-59"	"Illinois"	"17"	"2016"	"2016"	61	885282	6.890	0.882
	"55-59 years"	"55-59"	"Illinois"	"17"	"2017"	"2017"	71	877936	8.087	0.960
	"55-59 years"	"55-59"	"Illinois"	"17"	"2018"	"2018"	62	866870	7.152	0.908
	"55-59 years"	"55-59"	"Indiana"	"18"	"1999"	"1999"	28	288461	9.707	1.834
	"55-59 years"	"55-59"	"Indiana"	"18"	"2000"	"2000"	30	296197	10.128	1.849
	"55-59 years"	"55-59"	"Indiana"	"18"	"2001"	"2001"	18	300421	5.992	1.412
	"55-59 years"	"55-59"	"Indiana"	"18"	"2002"	"2002"	39	323626	12.051	1.930
	"55-59 years"	"55-59"	"Indiana"	"18"	"2003"	"2003"	25	334976	7.463	1.493
	"55-59 years"	"55-59"	"Indiana"	"18"	"2004"	"2004"	30	351775	8.528	1.557
	"55-59 years"	"55-59"	"Indiana"	"18"	"2005"	"2005"	27	370561	7.286	1.402
	"55-59 years"	"55-59"	"Indiana"	"18"	"2006"	"2006"	41	390539	10.498	1.640
	"55-59 years"	"55-59"	"Indiana"	"18"	"2007"	"2007"	30	391943	7.654	1.397
	"55-59 years"	"55-59"	"Indiana"	"18"	"2008"	"2008"	33	400441	8.241	1.435
	"55-59 years"	"55-59"	"Indiana"	"18"	"2009"	"2009"	33	410556	8.038	1.399
	"55-59 years"	"55-59"	"Indiana"	"18"	"2010"	"2010"	25	421314	5.934	1.187
	"55-59 years"	"55-59"	"Indiana"	"18"	"2011"	"2011"	43	430682	9.984	1.523
	"55-59 years"	"55-59"	"Indiana"	"18"	"2012"	"2012"	41	439966	9.319	1.455
	"55-59 years"	"55-59"	"Indiana"	"18"	"2013"	"2013"	27	447955	6.027	1.160
	"55-59 years"	"55-59"	"Indiana"	"18"	"2014"	"2014"	43	452253	9.508	1.450
	"55-59 years"	"55-59"	"Indiana"	"18"	"2015"	"2015"	29	455430	6.368	1.182
	"55-59 years"	"55-59"	"Indiana"	"18"	"2016"	"2016"	42	457297	9.184	1.417
	"55-59 years"	"55-59"	"Indiana"	"18"	"2017"	"2017"	38	454522	8.360	1.356
	"55-59 years"	"55-59"	"Indiana"	"18"	"2018"	"2018"	37	450760	8.208	1.349
	"55-59 years"	"55-59"	"Iowa"	"19"	"2005"	"2005"	19	176399	10.771	2.471
	"55-59 years"	"55-59"	"Iowa"	"19"	"2006"	"2006"	21	187230	11.216	2.448
