"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Incidence Counts	Incidence Population
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2016"	"2016"	0.857	62	1427559	71	1427559
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2017"	"2017"	0.614	52	1424393	74	1424393
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2018"	"2018"	0.687	51	1420593	67	1420593
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"1999"	"1999"	0.798	79	1275674	101	1275674
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2000"	"2000"	0.650	67	1299430	104	1299430
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2001"	"2001"	0.739	63	1319962	88	1319962
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2002"	"2002"	0.557	59	1340372	110	1340372
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2003"	"2003"	0.842	82	1363380	100	1363380
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2004"	"2004"	0.708	70	1391802	100	1391802
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2005"	"2005"	0.639	81	1428241	127	1428241
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2006"	"2006"	0.789	78	1468669	98	1468669
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2007"	"2007"	0.609	72	1505105	121	1505105
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2008"	"2008"	0.602	73	1534320	121	1534320
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2009"	"2009"	0.722	75	1554439	103	1554439
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2010"	"2010"	0.736	77	1570746	102	1570746
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2011"	"2011"	0.840	77	1583910	96	1583910
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2012"	"2012"	0.651	83	1595324	123	1595324
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2013"	"2013"	0.656	82	1611206	120	1611206
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2014"	"2014"	0.802	106	1631112	125	1631112
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2015"	"2015"	0.576	98	1651059	160	1651059
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2016"	"2016"	0.773	99	1682380	123	1682380
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2017"	"2017"	0.711	95	1717715	125	1717715
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2018"	"2018"	0.668	100	1750536	140	1750536
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"1999"	"1999"	0.672	527	12359020	791	12359020
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2000"	"2000"	0.656	502	12434161	774	12434161
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2001"	"2001"	0.701	553	12488445	795	12488445
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2002"	"2002"	0.616	467	12525556	763	12525556
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2003"	"2003"	0.627	501	12556006	802	12556006
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2004"	"2004"	0.597	511	12589773	854	12589773
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2005"	"2005"	0.551	445	12609903	811	12609903
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2006"	"2006"	0.572	510	12643955	893	12643955
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2007"	"2007"	0.592	497	12695866	835	12695866
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2008"	"2008"	0.547	501	12747038	896	12747038
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2009"	"2009"	0.665	570	12796778	845	12796778
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2010"	"2010"	0.594	545	12840503	902	12840503
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2011"	"2011"	0.582	550	12867454	914	12867454
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2012"	"2012"	0.689	594	12882510	839	12882510
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2013"	"2013"	0.661	583	12895129	850	12895129
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2014"	"2014"	0.651	612	12884493	891	12884493
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2015"	"2015"	0.640	605	12858913	908	12858913
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2016"	"2016"	0.674	626	12820527	899	12820527
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	0.656	611	12778828	876	12778828
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2018"	"2018"	0.643	608	12723071	870	12723071
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"1999"	"1999"	0.674	289	6044969	431	6044969
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2000"	"2000"	0.704	269	6091866	383	6091866
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2001"	"2001"	0.674	291	6127760	432	6127760
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2002"	"2002"	0.697	302	6155967	430	6155967
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2003"	"2003"	0.679	299	6196638	440	6196638
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2004"	"2004"	0.634	288	6233007	450	6233007
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2005"	"2005"	0.634	278	6278616	438	6278616
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2006"	"2006"	0.604	298	6332669	487	6332669
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2007"	"2007"	0.627	314	6379599	488	6379599
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2008"	"2008"	0.644	334	6424806	514	6424806
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2009"	"2009"	0.686	302	6459325	436	6459325
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2010"	"2010"	0.535	278	6490432	502	6490432
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2011"	"2011"	0.653	333	6516528	493	6516528
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2012"	"2012"	0.723	357	6537703	471	6537703
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2013"	"2013"	0.683	324	6568713	476	6568713
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2014"	"2014"	0.665	327	6593644	471	6593644
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2015"	"2015"	0.743	354	6608422	452	6608422
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2016"	"2016"	0.637	350	6634304	509	6634304
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	0.714	350	6658078	468	6658078
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2018"	"2018"	0.810	358	6695497	424	6695497
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"1999"	"1999"	0.778	166	2917634	209	2917634
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2000"	"2000"	0.631	148	2929067	225	2929067
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2001"	"2001"	0.648	163	2931997	244	2931997
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2002"	"2002"	0.689	162	2934234	228	2934234
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2003"	"2003"	0.771	181	2941999	225	2941999
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2004"	"2004"	0.662	160	2953635	234	2953635
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2005"	"2005"	0.681	179	2964454	255	2964454
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2006"	"2006"	0.738	176	2982644	233	2982644
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2007"	"2007"	0.677	177	2999212	255	2999212
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2008"	"2008"	0.709	182	3016734	248	3016734
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2009"	"2009"	0.776	204	3032870	253	3032870
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2010"	"2010"	0.757	172	3050745	219	3050745
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2011"	"2011"	0.569	157	3066336	266	3066336
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2012"	"2012"	0.587	171	3076190	270	3076190
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2013"	"2013"	0.817	198	3092997	233	3092997
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2014"	"2014"	0.630	172	3109350	259	3109350
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2015"	"2015"	0.781	200	3120960	245	3120960
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2016"	"2016"	0.766	197	3131371	250	3131371
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	0.623	176	3141550	265	3141550
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2018"	"2018"	0.713	190	3148618	253	3148618
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"1999"	"1999"	0.868	140	2678338	160	2678338
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2000"	"2000"	0.655	127	2693681	191	2693681
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2001"	"2001"	0.701	141	2702162	200	2702162
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2002"	"2002"	0.790	155	2713535	193	2713535
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2003"	"2003"	0.714	144	2723004	200	2723004
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2004"	"2004"	0.803	152	2734373	186	2734373
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2005"	"2005"	0.786	156	2745299	193	2745299
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2006"	"2006"	0.829	149	2762931	176	2762931
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2007"	"2007"	0.654	135	2783785	202	2783785
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2008"	"2008"	0.662	146	2808076	215	2808076
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2009"	"2009"	0.843	149	2832704	173	2832704
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2010"	"2010"	0.692	134	2858190	191	2858190
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2011"	"2011"	0.690	177	2869225	247	2869225
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2012"	"2012"	0.777	173	2885257	211	2885257
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2013"	"2013"	0.748	169	2893212	217	2893212
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2014"	"2014"	0.875	170	2900475	188	2900475
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2015"	"2015"	0.741	156	2909011	196	2909011
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2016"	"2016"	0.674	151	2910844	219	2910844
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	0.804	170	2908718	199	2908718
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2018"	"2018"	0.888	178	2911359	189	2911359
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"1999"	"1999"	0.682	188	4018053	275	4018053
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2000"	"2000"	0.669	190	4049021	285	4049021
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2001"	"2001"	0.788	203	4068132	255	4068132
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2002"	"2002"	0.692	194	4089875	279	4089875
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2003"	"2003"	0.693	208	4117170	296	4117170
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2004"	"2004"	0.553	169	4146101	305	4146101
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2005"	"2005"	0.608	180	4182742	291	4182742
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2006"	"2006"	0.588	179	4219239	301	4219239
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2007"	"2007"	0.609	222	4256672	358	4256672
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2008"	"2008"	0.655	223	4289878	327	4289878
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2009"	"2009"	0.556	217	4317074	372	4317074
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2010"	"2010"	0.637	231	4348181	349	4348181
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2011"	"2011"	0.601	224	4369821	364	4369821
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2012"	"2012"	0.670	245	4386346	353	4386346
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2013"	"2013"	0.579	232	4404659	373	4404659
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2014"	"2014"	0.623	237	4414349	357	4414349
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2015"	"2015"	0.602	246	4425976	385	4425976
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2016"	"2016"	0.780	292	4438182	357	4438182
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2017"	"2017"	0.612	246	4452268	375	4452268
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2018"	"2018"	0.697	265	4461153	353	4461153
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"1999"	"1999"	0.718	182	4460811	260	4460811
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2000"	"2000"	0.619	164	4471885	268	4471885
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2001"	"2001"	0.798	199	4477875	255	4477875
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2002"	"2002"	0.752	179	4497267	240	4497267
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2003"	"2003"	0.766	214	4521042	284	4521042
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2004"	"2004"	0.743	193	4552238	261	4552238
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2005"	"2005"	0.870	221	4411396	255	4411396
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2006"	"2006"	0.725	196	4302665	272	4302665
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2007"	"2007"	0.762	196	4375581	262	4375581
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2008"	"2008"	0.729	196	4435586	269	4435586
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2009"	"2009"	0.730	198	4491648	269	4491648
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2010"	"2010"	0.701	197	4544532	272	4544532
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2011"	"2011"	0.700	191	4575625	261	4575625
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2012"	"2012"	0.683	225	4600972	326	4600972
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2013"	"2013"	0.730	223	4624527	298	4624527
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2014"	"2014"	0.717	203	4644013	280	4644013
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2015"	"2015"	0.759	243	4664628	307	4664628
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2016"	"2016"	0.677	212	4678135	295	4678135
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2017"	"2017"	0.752	252	4670560	314	4670560
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2018"	"2018"	0.733	218	4659690	288	4659690
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"1999"	"1999"	0.690	77	1266808	109	1266808
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2000"	"2000"	0.540	71	1277072	125	1277072
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2001"	"2001"	0.761	69	1285692	90	1285692
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2002"	"2002"	0.623	77	1295960	120	1295960
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2003"	"2003"	0.631	68	1306513	104	1306513
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2004"	"2004"	0.544	79	1313688	137	1313688
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2005"	"2005"	0.701	80	1318787	110	1318787
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2006"	"2006"	0.610	77	1323619	118	1323619
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2007"	"2007"	0.642	69	1327040	107	1327040
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2008"	"2008"	0.689	85	1330509	116	1330509
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2009"	"2009"	0.660	92	1329590	126	1329590
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2010"	"2010"	0.639	85	1327629	121	1327629
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2011"	"2011"	0.669	81	1328284	109	1328284
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2012"	"2012"	0.610	82	1327729	122	1327729
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2013"	"2013"	0.636	80	1328009	115	1328009
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2014"	"2014"	0.821	106	1330513	113	1330513
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2015"	"2015"	0.632	90	1328262	129	1328262
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2016"	"2016"	0.592	93	1331317	141	1331317
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2017"	"2017"	0.613	96	1334612	133	1334612
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2018"	"2018"	0.788	112	1339057	120	1339057
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"1999"	"1999"	0.576	197	5254509	350	5254509
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2000"	"2000"	0.578	207	5311034	358	5311034
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2001"	"2001"	0.744	222	5374691	299	5374691
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2002"	"2002"	0.542	207	5440389	381	5440389
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2003"	"2003"	0.616	234	5496269	377	5496269
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2004"	"2004"	0.675	236	5546935	356	5546935
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2005"	"2005"	0.611	194	5592379	321	5592379
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2006"	"2006"	0.556	208	5627367	368	5627367
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2007"	"2007"	0.560	223	5653408	395	5653408
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2008"	"2008"	0.569	225	5684965	385	5684965
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2009"	"2009"	0.627	244	5730388	379	5730388
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2010"	"2010"	0.610	244	5788645	395	5788645
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2011"	"2011"	0.610	245	5839419	389	5839419
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2012"	"2012"	0.594	256	5886992	416	5886992
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2013"	"2013"	0.658	278	5923188	415	5923188
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2014"	"2014"	0.652	271	5957283	396	5957283
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2015"	"2015"	0.717	285	5985562	376	5985562
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2016"	"2016"	0.602	266	6003323	419	6003323
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2017"	"2017"	0.661	278	6023868	409	6023868
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2018"	"2018"	0.749	287	6035802	372	6035802
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"1999"	"1999"	0.648	305	6317345	465	6317345
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2000"	"2000"	0.585	310	6361104	526	6361104
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2001"	"2001"	0.562	267	6397634	467	6397634
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2002"	"2002"	0.611	288	6417206	464	6417206
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2003"	"2003"	0.584	292	6422565	492	6422565
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2004"	"2004"	0.559	274	6412281	476	6412281
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2005"	"2005"	0.564	285	6403290	485	6403290
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2006"	"2006"	0.567	297	6410084	505	6410084
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2007"	"2007"	0.537	296	6431559	526	6431559
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2008"	"2008"	0.553	293	6468967	519	6468967
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2009"	"2009"	0.712	346	6517613	468	6517613
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2010"	"2010"	0.548	288	6566307	489	6566307
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2011"	"2011"	0.617	326	6613583	494	6613583
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2012"	"2012"	0.661	317	6663005	473	6663005
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2013"	"2013"	0.565	334	6713315	552	6713315
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2014"	"2014"	0.662	348	6762596	481	6762596
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2015"	"2015"	0.693	383	6794228	527	6794228
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2016"	"2016"	0.665	395	6823608	565	6823608
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2017"	"2017"	0.671	397	6859789	543	6859789
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2018"	"2018"	0.623	376	6882635	562	6882635
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"1999"	"1999"	0.593	436	9897116	736	9897116
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2000"	"2000"	0.707	499	9952450	708	9952450
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2001"	"2001"	0.674	478	9991120	711	9991120
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2002"	"2002"	0.657	487	10015710	739	10015710
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2003"	"2003"	0.669	476	10041152	706	10041152
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2004"	"2004"	0.618	473	10055315	759	10055315
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2005"	"2005"	0.638	505	10051137	781	10051137
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2006"	"2006"	0.673	499	10036081	726	10036081
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2007"	"2007"	0.618	502	10001284	800	10001284
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2008"	"2008"	0.682	567	9946889	803	9946889
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2009"	"2009"	0.704	529	9901591	729	9901591
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2010"	"2010"	0.715	532	9877510	725	9877510
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2011"	"2011"	0.661	515	9882412	743	9882412
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2012"	"2012"	0.710	553	9897145	738	9897145
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2013"	"2013"	0.697	522	9913065	696	9913065
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2014"	"2014"	0.701	551	9929848	740	9929848
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2015"	"2015"	0.718	553	9931715	735	9931715
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2016"	"2016"	0.719	601	9950571	768	9950571
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2017"	"2017"	0.723	566	9973114	710	9973114
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2018"	"2018"	0.703	566	9984072	740	9984072
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"1999"	"1999"	0.708	243	4873481	345	4873481
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2000"	"2000"	0.860	261	4933692	305	4933692
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2001"	"2001"	0.759	249	4982796	329	4982796
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2002"	"2002"	0.638	234	5018935	366	5018935
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2003"	"2003"	0.768	240	5053572	312	5053572
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2004"	"2004"	0.669	228	5087713	336	5087713
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2005"	"2005"	0.717	202	5119598	283	5119598
