"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	Count	Population	Age-Adjusted Rate
	"Hawaii"	"15"	"2000"	"2000"	"Lung and Bronchus"	"22030"	653	1213519	51.624
	"Hawaii"	"15"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	61	1213519	4.939
	"Hawaii"	"15"	"2000"	"2000"	"Brain"	"31010"	56	1213519	4.543
	"Hawaii"	"15"	"2001"	"2001"	"Respiratory System"	"22010-22060"	675	1225948	52.073
	"Hawaii"	"15"	"2001"	"2001"	"Lung and Bronchus"	"22030"	617	1225948	47.600
	"Hawaii"	"15"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	68	1225948	5.488
	"Hawaii"	"15"	"2001"	"2001"	"Brain"	"31010"	61	1225948	4.931
	"Hawaii"	"15"	"2002"	"2002"	"Respiratory System"	"22010-22060"	728	1239613	55.016
	"Hawaii"	"15"	"2002"	"2002"	"Lung and Bronchus"	"22030"	684	1239613	51.646
	"Hawaii"	"15"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	56	1239613	4.369
	"Hawaii"	"15"	"2002"	"2002"	"Brain"	"31010"	55	1239613	4.292
	"Hawaii"	"15"	"2003"	"2003"	"Respiratory System"	"22010-22060"	758	1251154	55.730
	"Hawaii"	"15"	"2003"	"2003"	"Lung and Bronchus"	"22030"	708	1251154	52.027
	"Hawaii"	"15"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	53	1251154	4.046
	"Hawaii"	"15"	"2003"	"2003"	"Brain"	"31010"	49	1251154	3.748
	"Hawaii"	"15"	"2004"	"2004"	"Respiratory System"	"22010-22060"	832	1273569	59.937
	"Hawaii"	"15"	"2004"	"2004"	"Lung and Bronchus"	"22030"	774	1273569	55.674
	"Hawaii"	"15"	"2004"	"2004"	"Brain and Other Nervous System"	"31010-31040"	56	1273569	4.163
	"Hawaii"	"15"	"2004"	"2004"	"Brain"	"31010"	47	1273569	3.513
	"Hawaii"	"15"	"2005"	"2005"	"Respiratory System"	"22010-22060"	822	1292729	57.738
	"Hawaii"	"15"	"2005"	"2005"	"Lung and Bronchus"	"22030"	774	1292729	54.302
	"Hawaii"	"15"	"2005"	"2005"	"Brain and Other Nervous System"	"31010-31040"	49	1292729	3.560
	"Hawaii"	"15"	"2005"	"2005"	"Brain"	"31010"	46	1292729	3.346
	"Hawaii"	"15"	"2006"	"2006"	"Respiratory System"	"22010-22060"	804	1309731	55.496
	"Hawaii"	"15"	"2006"	"2006"	"Lung and Bronchus"	"22030"	757	1309731	52.281
	"Hawaii"	"15"	"2006"	"2006"	"Brain and Other Nervous System"	"31010-31040"	58	1309731	4.213
	"Hawaii"	"15"	"2006"	"2006"	"Brain"	"31010"	54	1309731	3.906
	"Hawaii"	"15"	"2007"	"2007"	"Respiratory System"	"22010-22060"	847	1315675	56.262
	"Hawaii"	"15"	"2007"	"2007"	"Lung and Bronchus"	"22030"	794	1315675	52.759
	"Hawaii"	"15"	"2007"	"2007"	"Brain and Other Nervous System"	"31010-31040"	57	1315675	4.153
	"Hawaii"	"15"	"2007"	"2007"	"Brain"	"31010"	52	1315675	3.767
	"Hawaii"	"15"	"2008"	"2008"	"Respiratory System"	"22010-22060"	868	1332213	56.453
	"Hawaii"	"15"	"2008"	"2008"	"Lung and Bronchus"	"22030"	808	1332213	52.639
	"Hawaii"	"15"	"2008"	"2008"	"Brain and Other Nervous System"	"31010-31040"	62	1332213	4.470
	"Hawaii"	"15"	"2008"	"2008"	"Brain"	"31010"	57	1332213	4.075
	"Hawaii"	"15"	"2009"	"2009"	"Respiratory System"	"22010-22060"	830	1346717	52.416
	"Hawaii"	"15"	"2009"	"2009"	"Lung and Bronchus"	"22030"	769	1346717	48.783
	"Hawaii"	"15"	"2009"	"2009"	"Brain and Other Nervous System"	"31010-31040"	72	1346717	4.992
	"Hawaii"	"15"	"2009"	"2009"	"Brain"	"31010"	68	1346717	4.686
	"Hawaii"	"15"	"2010"	"2010"	"Respiratory System"	"22010-22060"	790	1363963	48.964
	"Hawaii"	"15"	"2010"	"2010"	"Lung and Bronchus"	"22030"	732	1363963	45.465
	"Hawaii"	"15"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	60	1363963	4.145
	"Hawaii"	"15"	"2010"	"2010"	"Brain"	"31010"	54	1363963	3.692
	"Hawaii"	"15"	"2011"	"2011"	"Respiratory System"	"22010-22060"	819	1379329	50.275
	"Hawaii"	"15"	"2011"	"2011"	"Lung and Bronchus"	"22030"	765	1379329	47.081
	"Hawaii"	"15"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	47	1379329	3.163
	"Hawaii"	"15"	"2011"	"2011"	"Brain"	"31010"	44	1379329	2.910
	"Hawaii"	"15"	"2012"	"2012"	"Respiratory System"	"22010-22060"	837	1394804	48.904
	"Hawaii"	"15"	"2012"	"2012"	"Lung and Bronchus"	"22030"	781	1394804	45.679
	"Hawaii"	"15"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	70	1394804	4.332
	"Hawaii"	"15"	"2012"	"2012"	"Brain"	"31010"	67	1394804	4.121
	"Hawaii"	"15"	"2013"	"2013"	"Respiratory System"	"22010-22060"	920	1408243	53.302
	"Hawaii"	"15"	"2013"	"2013"	"Lung and Bronchus"	"22030"	868	1408243	50.289
	"Hawaii"	"15"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	72	1408243	4.583
	"Hawaii"	"15"	"2013"	"2013"	"Brain"	"31010"	65	1408243	4.099
	"Hawaii"	"15"	"2014"	"2014"	"Respiratory System"	"22010-22060"	840	1414538	47.234
	"Hawaii"	"15"	"2014"	"2014"	"Lung and Bronchus"	"22030"	789	1414538	44.458
	"Hawaii"	"15"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	61	1414538	3.801
	"Hawaii"	"15"	"2014"	"2014"	"Brain"	"31010"	57	1414538	3.495
	"Hawaii"	"15"	"2015"	"2015"	"Respiratory System"	"22010-22060"	880	1422052	47.443
	"Hawaii"	"15"	"2015"	"2015"	"Lung and Bronchus"	"22030"	828	1422052	44.614
	"Hawaii"	"15"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	65	1422052	4.103
	"Hawaii"	"15"	"2015"	"2015"	"Brain"	"31010"	56	1422052	3.568
	"Hawaii"	"15"	"2016"	"2016"	"Respiratory System"	"22010-22060"	901	1427559	48.807
	"Hawaii"	"15"	"2016"	"2016"	"Lung and Bronchus"	"22030"	834	1427559	45.267
	"Hawaii"	"15"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	71	1427559	4.208
	"Hawaii"	"15"	"2016"	"2016"	"Brain"	"31010"	66	1427559	3.922
	"Hawaii"	"15"	"2017"	"2017"	"Respiratory System"	"22010-22060"	917	1424393	47.536
	"Hawaii"	"15"	"2017"	"2017"	"Lung and Bronchus"	"22030"	870	1424393	45.186
	"Hawaii"	"15"	"2017"	"2017"	"Brain and Other Nervous System"	"31010-31040"	74	1424393	4.767
	"Hawaii"	"15"	"2017"	"2017"	"Brain"	"31010"	69	1424393	4.399
	"Hawaii"	"15"	"2018"	"2018"	"Respiratory System"	"22010-22060"	855	1420593	43.157
	"Hawaii"	"15"	"2018"	"2018"	"Lung and Bronchus"	"22030"	809	1420593	40.944
	"Hawaii"	"15"	"2018"	"2018"	"Brain and Other Nervous System"	"31010-31040"	67	1420593	4.349
	"Hawaii"	"15"	"2018"	"2018"	"Brain"	"31010"	60	1420593	3.866
	"Idaho"	"16"	"1999"	"1999"	"Respiratory System"	"22010-22060"	693	1275674	59.809
	"Idaho"	"16"	"1999"	"1999"	"Lung and Bronchus"	"22030"	629	1275674	54.354
	"Idaho"	"16"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	101	1275674	8.290
	"Idaho"	"16"	"1999"	"1999"	"Brain"	"31010"	93	1275674	7.621
	"Idaho"	"16"	"2000"	"2000"	"Respiratory System"	"22010-22060"	786	1299430	66.584
	"Idaho"	"16"	"2000"	"2000"	"Lung and Bronchus"	"22030"	743	1299430	62.945
	"Idaho"	"16"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	104	1299430	8.530
	"Idaho"	"16"	"2000"	"2000"	"Brain"	"31010"	94	1299430	7.701
	"Idaho"	"16"	"2001"	"2001"	"Respiratory System"	"22010-22060"	689	1319962	57.023
	"Idaho"	"16"	"2001"	"2001"	"Lung and Bronchus"	"22030"	632	1319962	52.402
	"Idaho"	"16"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	88	1319962	6.884
	"Idaho"	"16"	"2001"	"2001"	"Brain"	"31010"	79	1319962	6.162
	"Idaho"	"16"	"2002"	"2002"	"Respiratory System"	"22010-22060"	740	1340372	59.729
	"Idaho"	"16"	"2002"	"2002"	"Lung and Bronchus"	"22030"	683	1340372	55.319
	"Idaho"	"16"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	110	1340372	8.424
	"Idaho"	"16"	"2002"	"2002"	"Brain"	"31010"	104	1340372	7.962
	"Idaho"	"16"	"2003"	"2003"	"Respiratory System"	"22010-22060"	814	1363380	63.979
	"Idaho"	"16"	"2003"	"2003"	"Lung and Bronchus"	"22030"	762	1363380	59.993
	"Idaho"	"16"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	100	1363380	7.453
	"Idaho"	"16"	"2003"	"2003"	"Brain"	"31010"	93	1363380	6.939
	"Idaho"	"16"	"2004"	"2004"	"Respiratory System"	"22010-22060"	823	1391802	62.567
	"Idaho"	"16"	"2004"	"2004"	"Lung and Bronchus"	"22030"	775	1391802	59.022
	"Idaho"	"16"	"2004"	"2004"	"Brain and Other Nervous System"	"31010-31040"	100	1391802	7.342
	"Idaho"	"16"	"2004"	"2004"	"Brain"	"31010"	94	1391802	6.900
	"Idaho"	"16"	"2005"	"2005"	"Respiratory System"	"22010-22060"	876	1428241	64.489
	"Idaho"	"16"	"2005"	"2005"	"Lung and Bronchus"	"22030"	818	1428241	60.303
	"Idaho"	"16"	"2005"	"2005"	"Brain and Other Nervous System"	"31010-31040"	127	1428241	9.048
	"Idaho"	"16"	"2005"	"2005"	"Brain"	"31010"	112	1428241	8.003
	"Idaho"	"16"	"2006"	"2006"	"Respiratory System"	"22010-22060"	852	1468669	60.209
	"Idaho"	"16"	"2006"	"2006"	"Lung and Bronchus"	"22030"	796	1468669	56.365
	"Idaho"	"16"	"2006"	"2006"	"Brain and Other Nervous System"	"31010-31040"	98	1468669	6.724
	"Idaho"	"16"	"2006"	"2006"	"Brain"	"31010"	92	1468669	6.297
	"Idaho"	"16"	"2007"	"2007"	"Respiratory System"	"22010-22060"	887	1505105	60.609
	"Idaho"	"16"	"2007"	"2007"	"Lung and Bronchus"	"22030"	823	1505105	56.390
	"Idaho"	"16"	"2007"	"2007"	"Brain and Other Nervous System"	"31010-31040"	121	1505105	8.124
	"Idaho"	"16"	"2007"	"2007"	"Brain"	"31010"	111	1505105	7.525
	"Idaho"	"16"	"2008"	"2008"	"Respiratory System"	"22010-22060"	918	1534320	60.380
	"Idaho"	"16"	"2008"	"2008"	"Lung and Bronchus"	"22030"	849	1534320	56.085
	"Idaho"	"16"	"2008"	"2008"	"Brain and Other Nervous System"	"31010-31040"	121	1534320	7.910
	"Idaho"	"16"	"2008"	"2008"	"Brain"	"31010"	115	1534320	7.496
	"Idaho"	"16"	"2009"	"2009"	"Respiratory System"	"22010-22060"	875	1554439	56.233
	"Idaho"	"16"	"2009"	"2009"	"Lung and Bronchus"	"22030"	814	1554439	52.339
	"Idaho"	"16"	"2009"	"2009"	"Brain and Other Nervous System"	"31010-31040"	103	1554439	6.704
	"Idaho"	"16"	"2009"	"2009"	"Brain"	"31010"	99	1554439	6.452
	"Idaho"	"16"	"2010"	"2010"	"Respiratory System"	"22010-22060"	893	1570746	55.666
	"Idaho"	"16"	"2010"	"2010"	"Lung and Bronchus"	"22030"	838	1570746	52.313
	"Idaho"	"16"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	102	1570746	6.424
	"Idaho"	"16"	"2010"	"2010"	"Brain"	"31010"	96	1570746	6.021
	"Idaho"	"16"	"2011"	"2011"	"Respiratory System"	"22010-22060"	909	1583910	55.402
	"Idaho"	"16"	"2011"	"2011"	"Lung and Bronchus"	"22030"	860	1583910	52.420
	"Idaho"	"16"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	96	1583910	5.778
	"Idaho"	"16"	"2011"	"2011"	"Brain"	"31010"	88	1583910	5.317
	"Idaho"	"16"	"2012"	"2012"	"Respiratory System"	"22010-22060"	952	1595324	55.656
	"Idaho"	"16"	"2012"	"2012"	"Lung and Bronchus"	"22030"	902	1595324	52.929
	"Idaho"	"16"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	123	1595324	7.357
	"Idaho"	"16"	"2012"	"2012"	"Brain"	"31010"	109	1595324	6.502
	"Idaho"	"16"	"2013"	"2013"	"Respiratory System"	"22010-22060"	912	1611206	52.071
	"Idaho"	"16"	"2013"	"2013"	"Lung and Bronchus"	"22030"	854	1611206	48.925
	"Idaho"	"16"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	120	1611206	7.048
	"Idaho"	"16"	"2013"	"2013"	"Brain"	"31010"	113	1611206	6.644
	"Idaho"	"16"	"2014"	"2014"	"Respiratory System"	"22010-22060"	1005	1631112	54.889
	"Idaho"	"16"	"2014"	"2014"	"Lung and Bronchus"	"22030"	945	1631112	51.589
	"Idaho"	"16"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	125	1631112	7.270
	"Idaho"	"16"	"2014"	"2014"	"Brain"	"31010"	114	1631112	6.587
	"Idaho"	"16"	"2015"	"2015"	"Respiratory System"	"22010-22060"	1012	1651059	54.220
	"Idaho"	"16"	"2015"	"2015"	"Lung and Bronchus"	"22030"	963	1651059	51.715
	"Idaho"	"16"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	160	1651059	9.110
	"Idaho"	"16"	"2015"	"2015"	"Brain"	"31010"	152	1651059	8.622
	"Idaho"	"16"	"2016"	"2016"	"Respiratory System"	"22010-22060"	1011	1682380	52.433
	"Idaho"	"16"	"2016"	"2016"	"Lung and Bronchus"	"22030"	948	1682380	49.271
	"Idaho"	"16"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	123	1682380	6.780
	"Idaho"	"16"	"2016"	"2016"	"Brain"	"31010"	112	1682380	6.060
	"Idaho"	"16"	"2017"	"2017"	"Respiratory System"	"22010-22060"	1051	1717715	51.521
	"Idaho"	"16"	"2017"	"2017"	"Lung and Bronchus"	"22030"	992	1717715	48.667
	"Idaho"	"16"	"2017"	"2017"	"Brain and Other Nervous System"	"31010-31040"	125	1717715	6.667
	"Idaho"	"16"	"2017"	"2017"	"Brain"	"31010"	119	1717715	6.314
	"Idaho"	"16"	"2018"	"2018"	"Respiratory System"	"22010-22060"	1002	1750536	47.454
	"Idaho"	"16"	"2018"	"2018"	"Lung and Bronchus"	"22030"	950	1750536	45.015
	"Idaho"	"16"	"2018"	"2018"	"Brain and Other Nervous System"	"31010-31040"	140	1750536	7.486
	"Idaho"	"16"	"2018"	"2018"	"Brain"	"31010"	134	1750536	7.107
	"Illinois"	"17"	"1999"	"1999"	"Respiratory System"	"22010-22060"	9461	12359020	79.876
	"Illinois"	"17"	"1999"	"1999"	"Lung and Bronchus"	"22030"	8763	12359020	73.983
	"Illinois"	"17"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	791	12359020	6.553
	"Illinois"	"17"	"1999"	"1999"	"Brain"	"31010"	746	12359020	6.183
	"Illinois"	"17"	"1999"	"1999"	"Cranial Nerves Other Nervous System"	"31040"	45	12359020	0.370
	"Illinois"	"17"	"2000"	"2000"	"Respiratory System"	"22010-22060"	9335	12434161	78.297
	"Illinois"	"17"	"2000"	"2000"	"Lung and Bronchus"	"22030"	8619	12434161	72.300
	"Illinois"	"17"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	774	12434161	6.368
	"Illinois"	"17"	"2000"	"2000"	"Brain"	"31010"	731	12434161	6.019
	"Illinois"	"17"	"2000"	"2000"	"Cranial Nerves Other Nervous System"	"31040"	43	12434161	0.349
	"Illinois"	"17"	"2001"	"2001"	"Respiratory System"	"22010-22060"	9459	12488445	78.745
	"Illinois"	"17"	"2001"	"2001"	"Lung and Bronchus"	"22030"	8794	12488445	73.243
	"Illinois"	"17"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	795	12488445	6.499
	"Illinois"	"17"	"2001"	"2001"	"Brain"	"31010"	753	12488445	6.158
	"Illinois"	"17"	"2001"	"2001"	"Cranial Nerves Other Nervous System"	"31040"	42	12488445	0.341
	"Illinois"	"17"	"2002"	"2002"	"Respiratory System"	"22010-22060"	9759	12525556	80.502
	"Illinois"	"17"	"2002"	"2002"	"Lung and Bronchus"	"22030"	9041	12525556	74.642
	"Illinois"	"17"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	763	12525556	6.177
	"Illinois"	"17"	"2002"	"2002"	"Brain"	"31010"	727	12525556	5.888
	"Illinois"	"17"	"2002"	"2002"	"Cranial Nerves Other Nervous System"	"31040"	36	12525556	0.289
	"Illinois"	"17"	"2003"	"2003"	"Respiratory System"	"22010-22060"	9771	12556006	79.641
	"Illinois"	"17"	"2003"	"2003"	"Lung and Bronchus"	"22030"	9090	12556006	74.170
	"Illinois"	"17"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	802	12556006	6.453
	"Illinois"	"17"	"2003"	"2003"	"Brain"	"31010"	772	12556006	6.211
	"Illinois"	"17"	"2003"	"2003"	"Cranial Nerves Other Nervous System"	"31040"	30	12556006	0.241
	"Illinois"	"17"	"2004"	"2004"	"Respiratory System"	"22010-22060"	9516	12589773	76.902
	"Illinois"	"17"	"2004"	"2004"	"Lung and Bronchus"	"22030"	8881	12589773	71.864
	"Illinois"	"17"	"2004"	"2004"	"Brain and Other Nervous System"	"31010-31040"	854	12589773	6.833
	"Illinois"	"17"	"2004"	"2004"	"Brain"	"31010"	798	12589773	6.382
	"Illinois"	"17"	"2004"	"2004"	"Cranial Nerves Other Nervous System"	"31040"	56	12589773	0.450
	"Illinois"	"17"	"2005"	"2005"	"Respiratory System"	"22010-22060"	9707	12609903	77.572
	"Illinois"	"17"	"2005"	"2005"	"Lung and Bronchus"	"22030"	9054	12609903	72.442
	"Illinois"	"17"	"2005"	"2005"	"Brain and Other Nervous System"	"31010-31040"	811	12609903	6.418
	"Illinois"	"17"	"2005"	"2005"	"Brain"	"31010"	751	12609903	5.936
	"Illinois"	"17"	"2005"	"2005"	"Cranial Nerves Other Nervous System"	"31040"	60	12609903	0.482
	"Illinois"	"17"	"2006"	"2006"	"Respiratory System"	"22010-22060"	9930	12643955	78.659
	"Illinois"	"17"	"2006"	"2006"	"Lung and Bronchus"	"22030"	9281	12643955	73.631
	"Illinois"	"17"	"2006"	"2006"	"Brain and Other Nervous System"	"31010-31040"	893	12643955	7.030
	"Illinois"	"17"	"2006"	"2006"	"Brain"	"31010"	848	12643955	6.673
	"Illinois"	"17"	"2006"	"2006"	"Cranial Nerves Other Nervous System"	"31040"	45	12643955	0.357
	"Illinois"	"17"	"2007"	"2007"	"Respiratory System"	"22010-22060"	10070	12695866	78.520
	"Illinois"	"17"	"2007"	"2007"	"Lung and Bronchus"	"22030"	9366	12695866	73.166
	"Illinois"	"17"	"2007"	"2007"	"Brain and Other Nervous System"	"31010-31040"	835	12695866	6.483
	"Illinois"	"17"	"2007"	"2007"	"Brain"	"31010"	775	12695866	6.012
	"Illinois"	"17"	"2007"	"2007"	"Cranial Nerves Other Nervous System"	"31040"	60	12695866	0.472
	"Illinois"	"17"	"2008"	"2008"	"Respiratory System"	"22010-22060"	10085	12747038	77.210
	"Illinois"	"17"	"2008"	"2008"	"Lung and Bronchus"	"22030"	9401	12747038	72.104
	"Illinois"	"17"	"2008"	"2008"	"Brain and Other Nervous System"	"31010-31040"	896	12747038	6.893
	"Illinois"	"17"	"2008"	"2008"	"Brain"	"31010"	843	12747038	6.494
	"Illinois"	"17"	"2008"	"2008"	"Cranial Nerves Other Nervous System"	"31040"	53	12747038	0.399
	"Illinois"	"17"	"2009"	"2009"	"Respiratory System"	"22010-22060"	10286	12796778	77.748
	"Illinois"	"17"	"2009"	"2009"	"Lung and Bronchus"	"22030"	9618	12796778	72.859
	"Illinois"	"17"	"2009"	"2009"	"Brain and Other Nervous System"	"31010-31040"	845	12796778	6.454
	"Illinois"	"17"	"2009"	"2009"	"Brain"	"31010"	794	12796778	6.059
	"Illinois"	"17"	"2009"	"2009"	"Cranial Nerves Other Nervous System"	"31040"	51	12796778	0.395
	"Illinois"	"17"	"2010"	"2010"	"Respiratory System"	"22010-22060"	9984	12840503	74.181
	"Illinois"	"17"	"2010"	"2010"	"Lung and Bronchus"	"22030"	9294	12840503	69.250
	"Illinois"	"17"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	902	12840503	6.796
	"Illinois"	"17"	"2010"	"2010"	"Brain"	"31010"	858	12840503	6.450
	"Illinois"	"17"	"2010"	"2010"	"Cranial Nerves Other Nervous System"	"31040"	44	12840503	0.346
	"Illinois"	"17"	"2011"	"2011"	"Respiratory System"	"22010-22060"	10055	12867454	73.235
	"Illinois"	"17"	"2011"	"2011"	"Lung and Bronchus"	"22030"	9388	12867454	68.466
	"Illinois"	"17"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	914	12867454	6.842
	"Illinois"	"17"	"2011"	"2011"	"Brain"	"31010"	862	12867454	6.440
	"Illinois"	"17"	"2011"	"2011"	"Cranial Nerves Other Nervous System"	"31040"	52	12867454	0.402
	"Illinois"	"17"	"2012"	"2012"	"Respiratory System"	"22010-22060"	10021	12882510	71.613
	"Illinois"	"17"	"2012"	"2012"	"Lung and Bronchus"	"22030"	9366	12882510	67.038
	"Illinois"	"17"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	839	12882510	6.102
	"Illinois"	"17"	"2012"	"2012"	"Brain"	"31010"	788	12882510	5.730
	"Illinois"	"17"	"2012"	"2012"	"Cranial Nerves Other Nervous System"	"31040"	51	12882510	0.372
	"Illinois"	"17"	"2013"	"2013"	"Respiratory System"	"22010-22060"	9840	12895129	68.572
	"Illinois"	"17"	"2013"	"2013"	"Lung and Bronchus"	"22030"	9197	12895129	64.187
	"Illinois"	"17"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	850	12895129	6.252
	"Illinois"	"17"	"2013"	"2013"	"Brain"	"31010"	798	12895129	5.844
	"Illinois"	"17"	"2013"	"2013"	"Cranial Nerves Other Nervous System"	"31040"	52	12895129	0.408
	"Illinois"	"17"	"2014"	"2014"	"Respiratory System"	"22010-22060"	10381	12884493	71.003
	"Illinois"	"17"	"2014"	"2014"	"Lung and Bronchus"	"22030"	9687	12884493	66.387
	"Illinois"	"17"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	891	12884493	6.486
	"Illinois"	"17"	"2014"	"2014"	"Brain"	"31010"	831	12884493	6.037
	"Illinois"	"17"	"2014"	"2014"	"Cranial Nerves Other Nervous System"	"31040"	60	12884493	0.449
	"Illinois"	"17"	"2015"	"2015"	"Respiratory System"	"22010-22060"	10238	12858913	68.728
	"Illinois"	"17"	"2015"	"2015"	"Lung and Bronchus"	"22030"	9581	12858913	64.362
	"Illinois"	"17"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	908	12858913	6.519
	"Illinois"	"17"	"2015"	"2015"	"Brain"	"31010"	849	12858913	6.076
	"Illinois"	"17"	"2015"	"2015"	"Cranial Nerves Other Nervous System"	"31040"	59	12858913	0.443
	"Illinois"	"17"	"2016"	"2016"	"Respiratory System"	"22010-22060"	10171	12820527	67.448
	"Illinois"	"17"	"2016"	"2016"	"Lung and Bronchus"	"22030"	9490	12820527	63.030
	"Illinois"	"17"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	899	12820527	6.378
	"Illinois"	"17"	"2016"	"2016"	"Brain"	"31010"	844	12820527	5.956
	"Illinois"	"17"	"2016"	"2016"	"Cranial Nerves Other Nervous System"	"31040"	55	12820527	0.422
	"Illinois"	"17"	"2017"	"2017"	"Respiratory System"	"22010-22060"	10244	12778828	66.522
	"Illinois"	"17"	"2017"	"2017"	"Lung and Bronchus"	"22030"	9578	12778828	62.258
	"Illinois"	"17"	"2017"	"2017"	"Brain and Other Nervous System"	"31010-31040"	876	12778828	6.215
	"Illinois"	"17"	"2017"	"2017"	"Brain"	"31010"	815	12778828	5.761
	"Illinois"	"17"	"2017"	"2017"	"Cranial Nerves Other Nervous System"	"31040"	61	12778828	0.454
	"Illinois"	"17"	"2018"	"2018"	"Respiratory System"	"22010-22060"	10047	12723071	63.709
	"Illinois"	"17"	"2018"	"2018"	"Lung and Bronchus"	"22030"	9356	12723071	59.366
	"Illinois"	"17"	"2018"	"2018"	"Brain and Other Nervous System"	"31010-31040"	870	12723071	6.260
	"Illinois"	"17"	"2018"	"2018"	"Brain"	"31010"	820	12723071	5.863
	"Illinois"	"17"	"2018"	"2018"	"Cranial Nerves Other Nervous System"	"31040"	50	12723071	0.397
	"Indiana"	"18"	"1999"	"1999"	"Respiratory System"	"22010-22060"	5095	6044969	85.554
	"Indiana"	"18"	"1999"	"1999"	"Lung and Bronchus"	"22030"	4763	6044969	79.981
	"Indiana"	"18"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	431	6044969	7.197
	"Indiana"	"18"	"1999"	"1999"	"Brain"	"31010"	406	6044969	6.779
	"Indiana"	"18"	"1999"	"1999"	"Cranial Nerves Other Nervous System"	"31040"	25	6044969	0.417
	"Indiana"	"18"	"2000"	"2000"	"Respiratory System"	"22010-22060"	5113	6091866	85.042
	"Indiana"	"18"	"2000"	"2000"	"Lung and Bronchus"	"22030"	4756	6091866	79.129
	"Indiana"	"18"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	383	6091866	6.336
	"Indiana"	"18"	"2000"	"2000"	"Brain"	"31010"	362	6091866	5.992
	"Indiana"	"18"	"2000"	"2000"	"Cranial Nerves Other Nervous System"	"31040"	21	6091866	0.344
	"Indiana"	"18"	"2001"	"2001"	"Respiratory System"	"22010-22060"	5325	6127760	87.856
	"Indiana"	"18"	"2001"	"2001"	"Lung and Bronchus"	"22030"	4984	6127760	82.269
	"Indiana"	"18"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	432	6127760	7.081
	"Indiana"	"18"	"2001"	"2001"	"Brain"	"31010"	404	6127760	6.626
	"Indiana"	"18"	"2001"	"2001"	"Cranial Nerves Other Nervous System"	"31040"	28	6127760	0.455
	"Indiana"	"18"	"2002"	"2002"	"Respiratory System"	"22010-22060"	5422	6155967	88.375
	"Indiana"	"18"	"2002"	"2002"	"Lung and Bronchus"	"22030"	5078	6155967	82.834
	"Indiana"	"18"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	430	6155967	7.014
	"Indiana"	"18"	"2002"	"2002"	"Brain"	"31010"	403	6155967	6.564
	"Indiana"	"18"	"2002"	"2002"	"Cranial Nerves Other Nervous System"	"31040"	27	6155967	0.450
	"Indiana"	"18"	"2003"	"2003"	"Respiratory System"	"22010-22060"	5551	6196638	88.902
	"Indiana"	"18"	"2003"	"2003"	"Lung and Bronchus"	"22030"	5192	6196638	83.215
	"Indiana"	"18"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	440	6196638	7.080
	"Indiana"	"18"	"2003"	"2003"	"Brain"	"31010"	417	6196638	6.710
