"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Region"	"Region Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Age-Adjusted Rate	Age-Adjusted Rate Standard Error
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	0	427853	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	0	1009386	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2009"	"2009"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	0	441350	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	0	1045174	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2010"	"2010"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	0	440032	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	0	1071638	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2011"	"2011"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	0	438741	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	0	1103855	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2012"	"2012"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	0	438427	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	0	1139534	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2013"	"2013"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	0	439202	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	0	1176269	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2014"	"2014"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	0	440953	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	0	1217371	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2015"	"2015"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	0	443356	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2016"	"2016"	"White"	"2106-3"	0	22397179	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2016"	"2016"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	0	444443	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2017"	"2017"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	0	445518	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	0	1303472	0.000	0.000
	"Lung and Bronchus"	"22030"	"South"	"CENS-R3"	"2018"	"2018"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	0	560075	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	0	1712708	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"1999"	"1999"	"Black or African American"	"2054-5"	0	1248144	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"1999"	"1999"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	0	575242	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	0	1743431	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2000"	"2000"	"Black or African American"	"2054-5"	0	1262554	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2000"	"2000"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	0	585117	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	0	1773484	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2001"	"2001"	"Black or African American"	"2054-5"	0	1276922	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2001"	"2001"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	0	594612	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	0	1804786	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2002"	"2002"	"Black or African American"	"2054-5"	0	1288827	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2002"	"2002"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	0	605526	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	0	1841968	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2003"	"2003"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	0	618073	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2004"	"2004"	"Black or African American"	"2054-5"	0	1311244	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2004"	"2004"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	0	632272	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	0	1920471	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2005"	"2005"	"Black or African American"	"2054-5"	0	1321237	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2005"	"2005"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2006"	"2006"	"Asian or Pacific Islander"	"A-PI"	0	1962767	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2006"	"2006"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	0	665347	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2007"	"2007"	"Black or African American"	"2054-5"	0	1350704	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2007"	"2007"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	0	686577	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	0	2055821	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2008"	"2008"	"Black or African American"	"2054-5"	0	1368206	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2008"	"2008"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	0	708273	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2009"	"2009"	"Black or African American"	"2054-5"	0	1383802	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2009"	"2009"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	0	723038	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2010"	"2010"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	0	719877	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	0	2126448	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2011"	"2011"	"Black or African American"	"2054-5"	0	1379896	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2011"	"2011"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	0	716712	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	0	2134530	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2012"	"2012"	"Black or African American"	"2054-5"	0	1373360	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2012"	"2012"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	0	714991	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2013"	"2013"	"Black or African American"	"2054-5"	0	1368991	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2013"	"2013"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	0	714997	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	0	2176625	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2014"	"2014"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	0	715928	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2015"	"2015"	"Black or African American"	"2054-5"	0	1369497	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2015"	"2015"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	0	717026	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	0	2227974	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2016"	"2016"	"Black or African American"	"2054-5"	0	1374762	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2016"	"2016"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	0	717585	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	0	2244278	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2017"	"2017"	"Black or African American"	"2054-5"	0	1377204	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2017"	"2017"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	0	715469	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	0	2252250	0.000	0.000
	"Lung and Bronchus"	"22030"	"West"	"CENS-R4"	"2018"	"2018"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	0	75338	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"1999"	"1999"	"Black or African American"	"2054-5"	18	2330517	0.763	0.180
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"1999"	"1999"	"White"	"2106-3"	77	11395425	0.674	0.077
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"1999"	"1999"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2000"	"2000"	"White"	"2106-3"	82	11397866	0.718	0.079
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2000"	"2000"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	0	85445	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2001"	"2001"	"White"	"2106-3"	72	11379195	0.633	0.075
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2001"	"2001"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2002"	"2002"	"Black or African American"	"2054-5"	21	2356933	0.894	0.195
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2002"	"2002"	"White"	"2106-3"	70	11346842	0.615	0.074
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2002"	"2002"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2003"	"2003"	"White"	"2106-3"	79	11290947	0.708	0.080
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2003"	"2003"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	0	100178	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2004"	"2004"	"White"	"2106-3"	79	11217586	0.714	0.080
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2004"	"2004"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	0	105066	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2005"	"2005"	"White"	"2106-3"	65	11096954	0.590	0.073
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2005"	"2005"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	0	109915	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2006"	"2006"	"Black or African American"	"2054-5"	17	2346062	0.721	0.176
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2006"	"2006"	"White"	"2106-3"	68	10981081	0.622	0.076
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2006"	"2006"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	0	115332	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2007"	"2007"	"White"	"2106-3"	83	10874820	0.768	0.085
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2007"	"2007"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	0	122182	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2008"	"2008"	"White"	"2106-3"	66	10779767	0.625	0.077
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2008"	"2008"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	0	129948	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2009"	"2009"	"White"	"2106-3"	73	10680020	0.694	0.081
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2009"	"2009"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	0	134912	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2010"	"2010"	"White"	"2106-3"	58	10573030	0.551	0.072
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2010"	"2010"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	0	133726	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2011"	"2011"	"White"	"2106-3"	72	10484587	0.697	0.082
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2011"	"2011"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	0	133619	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2012"	"2012"	"Black or African American"	"2054-5"	16	2316705	0.697	0.174
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2012"	"2012"	"White"	"2106-3"	78	10368890	0.765	0.087
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2012"	"2012"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	0	132234	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2013"	"2013"	"White"	"2106-3"	55	10246302	0.542	0.073
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2013"	"2013"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	0	130572	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2014"	"2014"	"White"	"2106-3"	63	10130780	0.626	0.079
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2014"	"2014"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	0	129335	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2015"	"2015"	"White"	"2106-3"	67	10019950	0.674	0.082
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2015"	"2015"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2016"	"2016"	"Black or African American"	"2054-5"	18	2262985	0.796	0.188
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2016"	"2016"	"White"	"2106-3"	72	9918149	0.736	0.087
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2016"	"2016"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	0	126988	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2017"	"2017"	"White"	"2106-3"	58	9833419	0.594	0.078
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2017"	"2017"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	0	127616	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2018"	"2018"	"Black or African American"	"2054-5"	16	2237094	0.722	0.181
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2018"	"2018"	"White"	"2106-3"	83	9750421	0.859	0.094
	"Brain and Other Nervous System"	"31010-31040"	"Northeast"	"CENS-R1"	"2018"	"2018"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	0	178679	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	0	407346	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"1999"	"1999"	"Black or African American"	"2054-5"	24	2497103	0.952	0.195
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"1999"	"1999"	"White"	"2106-3"	97	15474398	0.625	0.063
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"1999"	"1999"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2000"	"2000"	"White"	"2106-3"	100	15441416	0.648	0.065
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2000"	"2000"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2001"	"2001"	"White"	"2106-3"	103	15382190	0.672	0.066
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2001"	"2001"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2002"	"2002"	"White"	"2106-3"	101	15283610	0.666	0.066
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2002"	"2002"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	0	199001	0.000	0.000
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2003"	"2003"	"White"	"2106-3"	99	15198336	0.653	0.066
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2003"	"2003"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2004"	"2004"	"White"	"2106-3"	100	15130073	0.661	0.066
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2004"	"2004"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2005"	"2005"	"White"	"2106-3"	103	15027426	0.691	0.068
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2005"	"2005"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2006"	"2006"	"Black or African American"	"2054-5"	16	2609487	0.617	0.154
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2006"	"2006"	"White"	"2106-3"	96	14945712	0.648	0.066
	"Brain and Other Nervous System"	"31010-31040"	"Midwest"	"CENS-R2"	"2006"	"2006"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
