"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	Count	Population	Age-Adjusted Rate
	"Hawaii"	"15"	"2009"	"2009"	"Myeloma"	"34000"	77	1346717	4.880
	"Hawaii"	"15"	"2009"	"2009"	"Non-Hodgkin Lymphoma"	"33041-33042"	273	1346717	17.559
	"Hawaii"	"15"	"2009"	"2009"	"Oral Cavity and Pharynx"	"20010-20100"	196	1346717	12.312
	"Hawaii"	"15"	"2009"	"2009"	"Ovary"	"27040"	82	673075	10.962
	"Hawaii"	"15"	"2009"	"2009"	"Pancreas"	"21100"	199	1346717	12.861
	"Hawaii"	"15"	"2009"	"2009"	"Prostate"	"28010"	816	673642	113.188
	"Hawaii"	"15"	"2009"	"2009"	"Stomach"	"21020"	160	1346717	10.339
	"Hawaii"	"15"	"2009"	"2009"	"Thyroid"	"32010"	221	1346717	15.819
	"Hawaii"	"15"	"2009"	"2009"	"Urinary Bladder, invasive and in situ"	"29010"	245	1346717	15.570
	"Hawaii"	"15"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	60	1363963	4.145
	"Hawaii"	"15"	"2010"	"2010"	"Breast"	"26000"	1080	1363963	68.363
	"Hawaii"	"15"	"2010"	"2010"	"Cervix Uteri"	"27010"	46	680678	6.780
	"Hawaii"	"15"	"2010"	"2010"	"Colon and Rectum"	"21041-21052"	738	1363963	46.114
	"Hawaii"	"15"	"2010"	"2010"	"Corpus Uteri"	"27020"	232	680678	28.572
	"Hawaii"	"15"	"2010"	"2010"	"Esophagus"	"21010"	58	1363963	3.626
	"Hawaii"	"15"	"2010"	"2010"	"Gallbladder"	"21080"	16	1363963	0.994
	"Hawaii"	"15"	"2010"	"2010"	"Kidney and Renal Pelvis"	"29020"	189	1363963	12.415
	"Hawaii"	"15"	"2010"	"2010"	"Larynx"	"22020"	44	1363963	2.632
	"Hawaii"	"15"	"2010"	"2010"	"Leukemias"	"35011-35043"	189	1363963	12.341
	"Hawaii"	"15"	"2010"	"2010"	"Liver"	"21071"	161	1363963	9.880
	"Hawaii"	"15"	"2010"	"2010"	"Lung and Bronchus"	"22030"	732	1363963	45.465
	"Hawaii"	"15"	"2010"	"2010"	"Melanoma of the Skin"	"25010"	347	1363963	22.006
	"Hawaii"	"15"	"2010"	"2010"	"Myeloma"	"34000"	77	1363963	4.634
	"Hawaii"	"15"	"2010"	"2010"	"Non-Hodgkin Lymphoma"	"33041-33042"	295	1363963	18.931
	"Hawaii"	"15"	"2010"	"2010"	"Oral Cavity and Pharynx"	"20010-20100"	172	1363963	10.765
	"Hawaii"	"15"	"2010"	"2010"	"Ovary"	"27040"	80	680678	10.032
	"Hawaii"	"15"	"2010"	"2010"	"Pancreas"	"21100"	232	1363963	14.265
	"Hawaii"	"15"	"2010"	"2010"	"Prostate"	"28010"	771	683285	103.989
	"Hawaii"	"15"	"2010"	"2010"	"Stomach"	"21020"	153	1363963	9.275
	"Hawaii"	"15"	"2010"	"2010"	"Thyroid"	"32010"	220	1363963	15.541
	"Hawaii"	"15"	"2010"	"2010"	"Urinary Bladder, invasive and in situ"	"29010"	238	1363963	14.940
	"Hawaii"	"15"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	47	1379329	3.163
	"Hawaii"	"15"	"2011"	"2011"	"Breast"	"26000"	1063	1379329	66.277
	"Hawaii"	"15"	"2011"	"2011"	"Cervix Uteri"	"27010"	44	688415	5.848
	"Hawaii"	"15"	"2011"	"2011"	"Colon and Rectum"	"21041-21052"	738	1379329	45.065
	"Hawaii"	"15"	"2011"	"2011"	"Corpus Uteri"	"27020"	241	688415	28.880
	"Hawaii"	"15"	"2011"	"2011"	"Esophagus"	"21010"	67	1379329	4.044
	"Hawaii"	"15"	"2011"	"2011"	"Kidney and Renal Pelvis"	"29020"	237	1379329	14.719
	"Hawaii"	"15"	"2011"	"2011"	"Larynx"	"22020"	41	1379329	2.373
	"Hawaii"	"15"	"2011"	"2011"	"Leukemias"	"35011-35043"	210	1379329	13.726
	"Hawaii"	"15"	"2011"	"2011"	"Liver"	"21071"	153	1379329	9.114
	"Hawaii"	"15"	"2011"	"2011"	"Lung and Bronchus"	"22030"	765	1379329	47.081
	"Hawaii"	"15"	"2011"	"2011"	"Melanoma of the Skin"	"25010"	314	1379329	19.725
	"Hawaii"	"15"	"2011"	"2011"	"Myeloma"	"34000"	98	1379329	6.269
	"Hawaii"	"15"	"2011"	"2011"	"Non-Hodgkin Lymphoma"	"33041-33042"	291	1379329	17.903
	"Hawaii"	"15"	"2011"	"2011"	"Oral Cavity and Pharynx"	"20010-20100"	166	1379329	10.091
	"Hawaii"	"15"	"2011"	"2011"	"Ovary"	"27040"	65	688415	7.925
	"Hawaii"	"15"	"2011"	"2011"	"Pancreas"	"21100"	215	1379329	12.925
	"Hawaii"	"15"	"2011"	"2011"	"Prostate"	"28010"	807	690914	104.380
	"Hawaii"	"15"	"2011"	"2011"	"Stomach"	"21020"	154	1379329	9.173
	"Hawaii"	"15"	"2011"	"2011"	"Thyroid"	"32010"	231	1379329	16.138
	"Hawaii"	"15"	"2011"	"2011"	"Urinary Bladder, invasive and in situ"	"29010"	207	1379329	12.289
	"Hawaii"	"15"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	70	1394804	4.332
	"Hawaii"	"15"	"2012"	"2012"	"Breast"	"26000"	1166	1394804	72.154
	"Hawaii"	"15"	"2012"	"2012"	"Cervix Uteri"	"27010"	61	695435	8.881
	"Hawaii"	"15"	"2012"	"2012"	"Colon and Rectum"	"21041-21052"	700	1394804	41.897
	"Hawaii"	"15"	"2012"	"2012"	"Corpus Uteri"	"27020"	228	695435	27.852
	"Hawaii"	"15"	"2012"	"2012"	"Esophagus"	"21010"	55	1394804	3.143
	"Hawaii"	"15"	"2012"	"2012"	"Kidney and Renal Pelvis"	"29020"	204	1394804	12.693
	"Hawaii"	"15"	"2012"	"2012"	"Larynx"	"22020"	43	1394804	2.422
	"Hawaii"	"15"	"2012"	"2012"	"Leukemias"	"35011-35043"	181	1394804	11.255
	"Hawaii"	"15"	"2012"	"2012"	"Liver"	"21071"	167	1394804	9.689
	"Hawaii"	"15"	"2012"	"2012"	"Lung and Bronchus"	"22030"	781	1394804	45.679
	"Hawaii"	"15"	"2012"	"2012"	"Melanoma of the Skin"	"25010"	296	1394804	18.288
	"Hawaii"	"15"	"2012"	"2012"	"Myeloma"	"34000"	99	1394804	5.808
	"Hawaii"	"15"	"2012"	"2012"	"Non-Hodgkin Lymphoma"	"33041-33042"	296	1394804	18.001
	"Hawaii"	"15"	"2012"	"2012"	"Oral Cavity and Pharynx"	"20010-20100"	210	1394804	12.904
	"Hawaii"	"15"	"2012"	"2012"	"Ovary"	"27040"	68	695435	8.742
	"Hawaii"	"15"	"2012"	"2012"	"Pancreas"	"21100"	249	1394804	14.389
	"Hawaii"	"15"	"2012"	"2012"	"Prostate"	"28010"	685	699369	84.245
	"Hawaii"	"15"	"2012"	"2012"	"Stomach"	"21020"	156	1394804	9.103
	"Hawaii"	"15"	"2012"	"2012"	"Thyroid"	"32010"	251	1394804	16.972
	"Hawaii"	"15"	"2012"	"2012"	"Urinary Bladder, invasive and in situ"	"29010"	227	1394804	13.197
	"Hawaii"	"15"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	72	1408243	4.583
	"Hawaii"	"15"	"2013"	"2013"	"Breast"	"26000"	1232	1408243	74.706
	"Hawaii"	"15"	"2013"	"2013"	"Cervix Uteri"	"27010"	48	701305	6.360
	"Hawaii"	"15"	"2013"	"2013"	"Colon and Rectum"	"21041-21052"	720	1408243	42.354
	"Hawaii"	"15"	"2013"	"2013"	"Corpus Uteri"	"27020"	278	701305	33.457
	"Hawaii"	"15"	"2013"	"2013"	"Esophagus"	"21010"	53	1408243	3.039
	"Hawaii"	"15"	"2013"	"2013"	"Gallbladder"	"21080"	17	1408243	1.017
	"Hawaii"	"15"	"2013"	"2013"	"Kidney and Renal Pelvis"	"29020"	235	1408243	14.057
	"Hawaii"	"15"	"2013"	"2013"	"Larynx"	"22020"	36	1408243	2.060
	"Hawaii"	"15"	"2013"	"2013"	"Leukemias"	"35011-35043"	182	1408243	11.425
	"Hawaii"	"15"	"2013"	"2013"	"Liver"	"21071"	188	1408243	10.624
	"Hawaii"	"15"	"2013"	"2013"	"Lung and Bronchus"	"22030"	868	1408243	50.289
	"Hawaii"	"15"	"2013"	"2013"	"Melanoma of the Skin"	"25010"	321	1408243	19.232
	"Hawaii"	"15"	"2013"	"2013"	"Myeloma"	"34000"	118	1408243	6.804
	"Hawaii"	"15"	"2013"	"2013"	"Non-Hodgkin Lymphoma"	"33041-33042"	291	1408243	17.655
	"Hawaii"	"15"	"2013"	"2013"	"Oral Cavity and Pharynx"	"20010-20100"	225	1408243	13.340
	"Hawaii"	"15"	"2013"	"2013"	"Ovary"	"27040"	90	701305	11.432
	"Hawaii"	"15"	"2013"	"2013"	"Pancreas"	"21100"	241	1408243	13.663
	"Hawaii"	"15"	"2013"	"2013"	"Prostate"	"28010"	660	706938	79.203
	"Hawaii"	"15"	"2013"	"2013"	"Stomach"	"21020"	168	1408243	9.561
	"Hawaii"	"15"	"2013"	"2013"	"Thyroid"	"32010"	226	1408243	15.296
	"Hawaii"	"15"	"2013"	"2013"	"Urinary Bladder, invasive and in situ"	"29010"	229	1408243	12.966
	"Hawaii"	"15"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	61	1414538	3.801
	"Hawaii"	"15"	"2014"	"2014"	"Breast"	"26000"	1190	1414538	71.787
	"Hawaii"	"15"	"2014"	"2014"	"Cervix Uteri"	"27010"	59	703896	8.455
	"Hawaii"	"15"	"2014"	"2014"	"Colon and Rectum"	"21041-21052"	726	1414538	41.785
	"Hawaii"	"15"	"2014"	"2014"	"Corpus Uteri"	"27020"	241	703896	28.336
	"Hawaii"	"15"	"2014"	"2014"	"Esophagus"	"21010"	57	1414538	3.195
	"Hawaii"	"15"	"2014"	"2014"	"Gallbladder"	"21080"	20	1414538	1.212
	"Hawaii"	"15"	"2014"	"2014"	"Kidney and Renal Pelvis"	"29020"	211	1414538	12.408
	"Hawaii"	"15"	"2014"	"2014"	"Larynx"	"22020"	31	1414538	1.683
	"Hawaii"	"15"	"2014"	"2014"	"Leukemias"	"35011-35043"	193	1414538	11.613
	"Hawaii"	"15"	"2014"	"2014"	"Liver"	"21071"	172	1414538	9.403
	"Hawaii"	"15"	"2014"	"2014"	"Lung and Bronchus"	"22030"	789	1414538	44.458
	"Hawaii"	"15"	"2014"	"2014"	"Melanoma of the Skin"	"25010"	349	1414538	20.333
	"Hawaii"	"15"	"2014"	"2014"	"Myeloma"	"34000"	85	1414538	4.916
	"Hawaii"	"15"	"2014"	"2014"	"Non-Hodgkin Lymphoma"	"33041-33042"	303	1414538	18.133
	"Hawaii"	"15"	"2014"	"2014"	"Oral Cavity and Pharynx"	"20010-20100"	247	1414538	14.392
	"Hawaii"	"15"	"2014"	"2014"	"Ovary"	"27040"	88	703896	10.608
	"Hawaii"	"15"	"2014"	"2014"	"Pancreas"	"21100"	223	1414538	12.446
	"Hawaii"	"15"	"2014"	"2014"	"Prostate"	"28010"	684	710642	80.105
	"Hawaii"	"15"	"2014"	"2014"	"Stomach"	"21020"	155	1414538	9.242
	"Hawaii"	"15"	"2014"	"2014"	"Thyroid"	"32010"	203	1414538	13.528
	"Hawaii"	"15"	"2014"	"2014"	"Urinary Bladder, invasive and in situ"	"29010"	273	1414538	15.088
	"Hawaii"	"15"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	65	1422052	4.103
	"Hawaii"	"15"	"2015"	"2015"	"Breast"	"26000"	1193	1422052	70.285
	"Hawaii"	"15"	"2015"	"2015"	"Cervix Uteri"	"27010"	46	707353	6.524
	"Hawaii"	"15"	"2015"	"2015"	"Colon and Rectum"	"21041-21052"	719	1422052	41.577
	"Hawaii"	"15"	"2015"	"2015"	"Corpus Uteri"	"27020"	257	707353	29.097
	"Hawaii"	"15"	"2015"	"2015"	"Esophagus"	"21010"	66	1422052	3.583
	"Hawaii"	"15"	"2015"	"2015"	"Gallbladder"	"21080"	20	1422052	1.139
	"Hawaii"	"15"	"2015"	"2015"	"Kidney and Renal Pelvis"	"29020"	258	1422052	15.066
	"Hawaii"	"15"	"2015"	"2015"	"Larynx"	"22020"	36	1422052	1.898
	"Hawaii"	"15"	"2015"	"2015"	"Leukemias"	"35011-35043"	166	1422052	10.057
	"Hawaii"	"15"	"2015"	"2015"	"Liver"	"21071"	191	1422052	10.174
	"Hawaii"	"15"	"2015"	"2015"	"Lung and Bronchus"	"22030"	828	1422052	44.614
	"Hawaii"	"15"	"2015"	"2015"	"Melanoma of the Skin"	"25010"	399	1422052	23.041
	"Hawaii"	"15"	"2015"	"2015"	"Myeloma"	"34000"	100	1422052	5.573
	"Hawaii"	"15"	"2015"	"2015"	"Non-Hodgkin Lymphoma"	"33041-33042"	269	1422052	15.044
	"Hawaii"	"15"	"2015"	"2015"	"Oral Cavity and Pharynx"	"20010-20100"	223	1422052	12.794
	"Hawaii"	"15"	"2015"	"2015"	"Ovary"	"27040"	88	707353	10.238
	"Hawaii"	"15"	"2015"	"2015"	"Pancreas"	"21100"	250	1422052	13.730
	"Hawaii"	"15"	"2015"	"2015"	"Prostate"	"28010"	775	714699	88.486
	"Hawaii"	"15"	"2015"	"2015"	"Stomach"	"21020"	149	1422052	8.010
	"Hawaii"	"15"	"2015"	"2015"	"Thyroid"	"32010"	220	1422052	14.857
	"Hawaii"	"15"	"2015"	"2015"	"Urinary Bladder, invasive and in situ"	"29010"	267	1422052	14.759
	"Hawaii"	"15"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	71	1427559	4.208
	"Hawaii"	"15"	"2016"	"2016"	"Breast"	"26000"	1211	1427559	69.608
	"Hawaii"	"15"	"2016"	"2016"	"Cervix Uteri"	"27010"	47	710243	6.431
	"Hawaii"	"15"	"2016"	"2016"	"Colon and Rectum"	"21041-21052"	731	1427559	41.410
	"Hawaii"	"15"	"2016"	"2016"	"Corpus Uteri"	"27020"	296	710243	32.420
	"Hawaii"	"15"	"2016"	"2016"	"Esophagus"	"21010"	73	1427559	3.938
	"Hawaii"	"15"	"2016"	"2016"	"Gallbladder"	"21080"	20	1427559	1.180
	"Hawaii"	"15"	"2016"	"2016"	"Kidney and Renal Pelvis"	"29020"	231	1427559	12.955
	"Hawaii"	"15"	"2016"	"2016"	"Larynx"	"22020"	44	1427559	2.250
	"Hawaii"	"15"	"2016"	"2016"	"Leukemias"	"35011-35043"	180	1427559	10.554
	"Hawaii"	"15"	"2016"	"2016"	"Liver"	"21071"	177	1427559	9.297
	"Hawaii"	"15"	"2016"	"2016"	"Lung and Bronchus"	"22030"	834	1427559	45.267
	"Hawaii"	"15"	"2016"	"2016"	"Melanoma of the Skin"	"25010"	447	1427559	25.950
	"Hawaii"	"15"	"2016"	"2016"	"Myeloma"	"34000"	86	1427559	4.568
	"Hawaii"	"15"	"2016"	"2016"	"Non-Hodgkin Lymphoma"	"33041-33042"	266	1427559	14.568
	"Hawaii"	"15"	"2016"	"2016"	"Oral Cavity and Pharynx"	"20010-20100"	242	1427559	13.294
	"Hawaii"	"15"	"2016"	"2016"	"Ovary"	"27040"	77	710243	9.133
	"Hawaii"	"15"	"2016"	"2016"	"Pancreas"	"21100"	257	1427559	13.779
	"Hawaii"	"15"	"2016"	"2016"	"Prostate"	"28010"	847	717316	94.567
	"Hawaii"	"15"	"2016"	"2016"	"Stomach"	"21020"	146	1427559	7.868
	"Hawaii"	"15"	"2016"	"2016"	"Thyroid"	"32010"	221	1427559	14.970
	"Hawaii"	"15"	"2016"	"2016"	"Urinary Bladder, invasive and in situ"	"29010"	240	1427559	12.995
	"Hawaii"	"15"	"2017"	"2017"	"Brain and Other Nervous System"	"31010-31040"	74	1424393	4.767
	"Hawaii"	"15"	"2017"	"2017"	"Breast"	"26000"	1292	1424393	74.585
	"Hawaii"	"15"	"2017"	"2017"	"Cervix Uteri"	"27010"	47	710028	6.449
	"Hawaii"	"15"	"2017"	"2017"	"Colon and Rectum"	"21041-21052"	711	1424393	39.947
	"Hawaii"	"15"	"2017"	"2017"	"Corpus Uteri"	"27020"	324	710028	36.708
	"Hawaii"	"15"	"2017"	"2017"	"Esophagus"	"21010"	79	1424393	4.136
	"Hawaii"	"15"	"2017"	"2017"	"Gallbladder"	"21080"	20	1424393	0.955
	"Hawaii"	"15"	"2017"	"2017"	"Kidney and Renal Pelvis"	"29020"	246	1424393	13.459
	"Hawaii"	"15"	"2017"	"2017"	"Larynx"	"22020"	35	1424393	1.752
	"Hawaii"	"15"	"2017"	"2017"	"Leukemias"	"35011-35043"	188	1424393	10.770
	"Hawaii"	"15"	"2017"	"2017"	"Liver"	"21071"	167	1424393	8.758
	"Hawaii"	"15"	"2017"	"2017"	"Lung and Bronchus"	"22030"	870	1424393	45.186
	"Hawaii"	"15"	"2017"	"2017"	"Melanoma of the Skin"	"25010"	377	1424393	20.795
	"Hawaii"	"15"	"2017"	"2017"	"Myeloma"	"34000"	100	1424393	5.382
	"Hawaii"	"15"	"2017"	"2017"	"Non-Hodgkin Lymphoma"	"33041-33042"	302	1424393	16.873
	"Hawaii"	"15"	"2017"	"2017"	"Oral Cavity and Pharynx"	"20010-20100"	219	1424393	12.443
	"Hawaii"	"15"	"2017"	"2017"	"Ovary"	"27040"	81	710028	9.474
	"Hawaii"	"15"	"2017"	"2017"	"Pancreas"	"21100"	280	1424393	15.159
	"Hawaii"	"15"	"2017"	"2017"	"Prostate"	"28010"	908	714365	99.575
	"Hawaii"	"15"	"2017"	"2017"	"Stomach"	"21020"	163	1424393	8.595
	"Hawaii"	"15"	"2017"	"2017"	"Thyroid"	"32010"	210	1424393	14.313
	"Hawaii"	"15"	"2017"	"2017"	"Urinary Bladder, invasive and in situ"	"29010"	282	1424393	14.967
	"Hawaii"	"15"	"2018"	"2018"	"Brain and Other Nervous System"	"31010-31040"	67	1420593	4.349
	"Hawaii"	"15"	"2018"	"2018"	"Breast"	"26000"	1320	1420593	75.632
	"Hawaii"	"15"	"2018"	"2018"	"Cervix Uteri"	"27010"	51	709302	6.827
	"Hawaii"	"15"	"2018"	"2018"	"Colon and Rectum"	"21041-21052"	663	1420593	36.499
	"Hawaii"	"15"	"2018"	"2018"	"Corpus Uteri"	"27020"	294	709302	33.167
	"Hawaii"	"15"	"2018"	"2018"	"Esophagus"	"21010"	52	1420593	2.611
	"Hawaii"	"15"	"2018"	"2018"	"Kidney and Renal Pelvis"	"29020"	225	1420593	12.561
	"Hawaii"	"15"	"2018"	"2018"	"Larynx"	"22020"	37	1420593	1.760
	"Hawaii"	"15"	"2018"	"2018"	"Leukemias"	"35011-35043"	171	1420593	9.577
	"Hawaii"	"15"	"2018"	"2018"	"Liver"	"21071"	136	1420593	7.197
	"Hawaii"	"15"	"2018"	"2018"	"Lung and Bronchus"	"22030"	809	1420593	40.944
	"Hawaii"	"15"	"2018"	"2018"	"Melanoma of the Skin"	"25010"	449	1420593	24.013
	"Hawaii"	"15"	"2018"	"2018"	"Myeloma"	"34000"	76	1420593	3.961
	"Hawaii"	"15"	"2018"	"2018"	"Non-Hodgkin Lymphoma"	"33041-33042"	274	1420593	14.991
	"Hawaii"	"15"	"2018"	"2018"	"Oral Cavity and Pharynx"	"20010-20100"	240	1420593	13.496
	"Hawaii"	"15"	"2018"	"2018"	"Ovary"	"27040"	77	709302	9.358
	"Hawaii"	"15"	"2018"	"2018"	"Pancreas"	"21100"	246	1420593	12.899
	"Hawaii"	"15"	"2018"	"2018"	"Prostate"	"28010"	1061	711291	113.013
	"Hawaii"	"15"	"2018"	"2018"	"Stomach"	"21020"	155	1420593	8.070
	"Hawaii"	"15"	"2018"	"2018"	"Thyroid"	"32010"	192	1420593	12.487
	"Hawaii"	"15"	"2018"	"2018"	"Urinary Bladder, invasive and in situ"	"29010"	257	1420593	13.065
	"Idaho"	"16"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	101	1275674	8.290
	"Idaho"	"16"	"1999"	"1999"	"Breast"	"26000"	824	1275674	70.182
	"Idaho"	"16"	"1999"	"1999"	"Cervix Uteri"	"27010"	38	636798	6.334
	"Idaho"	"16"	"1999"	"1999"	"Colon and Rectum"	"21041-21052"	527	1275674	45.469
	"Idaho"	"16"	"1999"	"1999"	"Corpus Uteri"	"27020"	147	636798	23.853
	"Idaho"	"16"	"1999"	"1999"	"Esophagus"	"21010"	46	1275674	3.945
	"Idaho"	"16"	"1999"	"1999"	"Kidney and Renal Pelvis"	"29020"	133	1275674	11.380
	"Idaho"	"16"	"1999"	"1999"	"Larynx"	"22020"	48	1275674	4.113
	"Idaho"	"16"	"1999"	"1999"	"Leukemias"	"35011-35043"	164	1275674	13.801
	"Idaho"	"16"	"1999"	"1999"	"Liver"	"21071"	27	1275674	2.307
	"Idaho"	"16"	"1999"	"1999"	"Lung and Bronchus"	"22030"	629	1275674	54.354
	"Idaho"	"16"	"1999"	"1999"	"Melanoma of the Skin"	"25010"	236	1275674	19.902
	"Idaho"	"16"	"1999"	"1999"	"Myeloma"	"34000"	64	1275674	5.506
	"Idaho"	"16"	"1999"	"1999"	"Non-Hodgkin Lymphoma"	"33041-33042"	216	1275674	18.476
	"Idaho"	"16"	"1999"	"1999"	"Oral Cavity and Pharynx"	"20010-20100"	122	1275674	10.324
	"Idaho"	"16"	"1999"	"1999"	"Ovary"	"27040"	84	636798	13.309
	"Idaho"	"16"	"1999"	"1999"	"Pancreas"	"21100"	133	1275674	11.464
	"Idaho"	"16"	"1999"	"1999"	"Prostate"	"28010"	849	638876	161.651
	"Idaho"	"16"	"1999"	"1999"	"Stomach"	"21020"	61	1275674	5.275
	"Idaho"	"16"	"1999"	"1999"	"Thyroid"	"32010"	73	1275674	6.014
	"Idaho"	"16"	"1999"	"1999"	"Urinary Bladder, invasive and in situ"	"29010"	232	1275674	19.990
	"Idaho"	"16"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	104	1299430	8.530
	"Idaho"	"16"	"2000"	"2000"	"Breast"	"26000"	857	1299430	71.222
	"Idaho"	"16"	"2000"	"2000"	"Cervix Uteri"	"27010"	43	647984	7.001
	"Idaho"	"16"	"2000"	"2000"	"Colon and Rectum"	"21041-21052"	566	1299430	47.792
	"Idaho"	"16"	"2000"	"2000"	"Corpus Uteri"	"27020"	138	647984	21.715
	"Idaho"	"16"	"2000"	"2000"	"Esophagus"	"21010"	72	1299430	6.032
	"Idaho"	"16"	"2000"	"2000"	"Kidney and Renal Pelvis"	"29020"	144	1299430	11.995
	"Idaho"	"16"	"2000"	"2000"	"Larynx"	"22020"	38	1299430	3.241
	"Idaho"	"16"	"2000"	"2000"	"Leukemias"	"35011-35043"	164	1299430	13.641
	"Idaho"	"16"	"2000"	"2000"	"Liver"	"21071"	33	1299430	2.762
	"Idaho"	"16"	"2000"	"2000"	"Lung and Bronchus"	"22030"	743	1299430	62.945
	"Idaho"	"16"	"2000"	"2000"	"Melanoma of the Skin"	"25010"	244	1299430	20.142
	"Idaho"	"16"	"2000"	"2000"	"Myeloma"	"34000"	61	1299430	5.129
	"Idaho"	"16"	"2000"	"2000"	"Non-Hodgkin Lymphoma"	"33041-33042"	234	1299430	19.541
	"Idaho"	"16"	"2000"	"2000"	"Oral Cavity and Pharynx"	"20010-20100"	156	1299430	13.044
	"Idaho"	"16"	"2000"	"2000"	"Ovary"	"27040"	90	647984	14.046
	"Idaho"	"16"	"2000"	"2000"	"Pancreas"	"21100"	106	1299430	8.941
	"Idaho"	"16"	"2000"	"2000"	"Prostate"	"28010"	1003	651446	186.469
	"Idaho"	"16"	"2000"	"2000"	"Stomach"	"21020"	66	1299430	5.551
	"Idaho"	"16"	"2000"	"2000"	"Thyroid"	"32010"	88	1299430	7.123
	"Idaho"	"16"	"2000"	"2000"	"Urinary Bladder, invasive and in situ"	"29010"	275	1299430	23.239
	"Idaho"	"16"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	88	1319962	6.884
	"Idaho"	"16"	"2001"	"2001"	"Breast"	"26000"	851	1319962	69.023
	"Idaho"	"16"	"2001"	"2001"	"Cervix Uteri"	"27010"	42	658043	6.765
	"Idaho"	"16"	"2001"	"2001"	"Colon and Rectum"	"21041-21052"	555	1319962	45.861
	"Idaho"	"16"	"2001"	"2001"	"Corpus Uteri"	"27020"	128	658043	19.763
	"Idaho"	"16"	"2001"	"2001"	"Esophagus"	"21010"	51	1319962	4.165
	"Idaho"	"16"	"2001"	"2001"	"Kidney and Renal Pelvis"	"29020"	159	1319962	12.882
	"Idaho"	"16"	"2001"	"2001"	"Larynx"	"22020"	45	1319962	3.687
	"Idaho"	"16"	"2001"	"2001"	"Leukemias"	"35011-35043"	168	1319962	13.536
	"Idaho"	"16"	"2001"	"2001"	"Liver"	"21071"	36	1319962	2.956
	"Idaho"	"16"	"2001"	"2001"	"Lung and Bronchus"	"22030"	632	1319962	52.402
	"Idaho"	"16"	"2001"	"2001"	"Melanoma of the Skin"	"25010"	245	1319962	19.818
	"Idaho"	"16"	"2001"	"2001"	"Myeloma"	"34000"	73	1319962	5.983
	"Idaho"	"16"	"2001"	"2001"	"Non-Hodgkin Lymphoma"	"33041-33042"	242	1319962	19.593
	"Idaho"	"16"	"2001"	"2001"	"Oral Cavity and Pharynx"	"20010-20100"	142	1319962	11.576
	"Idaho"	"16"	"2001"	"2001"	"Ovary"	"27040"	89	658043	13.546
	"Idaho"	"16"	"2001"	"2001"	"Pancreas"	"21100"	123	1319962	10.134
	"Idaho"	"16"	"2001"	"2001"	"Prostate"	"28010"	1029	661919	184.045
	"Idaho"	"16"	"2001"	"2001"	"Stomach"	"21020"	60	1319962	4.950
	"Idaho"	"16"	"2001"	"2001"	"Thyroid"	"32010"	120	1319962	9.559
	"Idaho"	"16"	"2001"	"2001"	"Urinary Bladder, invasive and in situ"	"29010"	269	1319962	22.318
	"Idaho"	"16"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	110	1340372	8.424
	"Idaho"	"16"	"2002"	"2002"	"Breast"	"26000"	906	1340372	71.358
	"Idaho"	"16"	"2002"	"2002"	"Cervix Uteri"	"27010"	51	668686	8.143
	"Idaho"	"16"	"2002"	"2002"	"Colon and Rectum"	"21041-21052"	550	1340372	44.116
	"Idaho"	"16"	"2002"	"2002"	"Corpus Uteri"	"27020"	139	668686	20.825
	"Idaho"	"16"	"2002"	"2002"	"Esophagus"	"21010"	55	1340372	4.296
	"Idaho"	"16"	"2002"	"2002"	"Kidney and Renal Pelvis"	"29020"	168	1340372	13.373
	"Idaho"	"16"	"2002"	"2002"	"Larynx"	"22020"	49	1340372	3.777
	"Idaho"	"16"	"2002"	"2002"	"Leukemias"	"35011-35043"	197	1340372	15.542
	"Idaho"	"16"	"2002"	"2002"	"Liver"	"21071"	35	1340372	2.756
	"Idaho"	"16"	"2002"	"2002"	"Lung and Bronchus"	"22030"	683	1340372	55.319
	"Idaho"	"16"	"2002"	"2002"	"Melanoma of the Skin"	"25010"	267	1340372	20.845
	"Idaho"	"16"	"2002"	"2002"	"Myeloma"	"34000"	80	1340372	6.429
	"Idaho"	"16"	"2002"	"2002"	"Non-Hodgkin Lymphoma"	"33041-33042"	252	1340372	19.960
	"Idaho"	"16"	"2002"	"2002"	"Oral Cavity and Pharynx"	"20010-20100"	131	1340372	10.375
	"Idaho"	"16"	"2002"	"2002"	"Ovary"	"27040"	79	668686	11.885
	"Idaho"	"16"	"2002"	"2002"	"Pancreas"	"21100"	148	1340372	11.967
	"Idaho"	"16"	"2002"	"2002"	"Prostate"	"28010"	997	671686	173.335
