"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2016"	"2016"	19	3260087	0.580
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2017"	"2017"	18	3223517	0.556
	"Leukemias"	"35011-35043"	"Indiana"	"18"	"2000"	"2000"	17	1764612	0.958
	"Leukemias"	"35011-35043"	"Indiana"	"18"	"2002"	"2002"	17	1764686	0.960
	"Leukemias"	"35011-35043"	"Indiana"	"18"	"2006"	"2006"	21	1790845	1.175
	"Leukemias"	"35011-35043"	"Louisiana"	"22"	"1999"	"1999"	16	1376341	1.141
	"Leukemias"	"35011-35043"	"Maryland"	"24"	"2000"	"2000"	17	1493782	1.145
	"Leukemias"	"35011-35043"	"Maryland"	"24"	"2001"	"2001"	17	1506076	1.129
	"Leukemias"	"35011-35043"	"Maryland"	"24"	"2002"	"2002"	16	1519125	1.072
	"Leukemias"	"35011-35043"	"Maryland"	"24"	"2004"	"2004"	17	1533272	1.109
	"Leukemias"	"35011-35043"	"Maryland"	"24"	"2005"	"2005"	19	1534518	1.229
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"1999"	"1999"	25	2881172	0.871
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2000"	"2000"	19	2884980	0.658
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2001"	"2001"	27	2880673	0.935
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2002"	"2002"	25	2869862	0.865
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2003"	"2003"	24	2859024	0.847
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2004"	"2004"	18	2847180	0.639
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2005"	"2005"	24	2823815	0.853
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2006"	"2006"	20	2796852	0.720
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2007"	"2007"	20	2765779	0.717
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2014"	"2014"	21	2505654	0.844
	"Leukemias"	"35011-35043"	"Minnesota"	"27"	"2003"	"2003"	17	1435346	1.215
	"Leukemias"	"35011-35043"	"Missouri"	"29"	"2002"	"2002"	17	1589672	1.076
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"1999"	"1999"	24	2263704	1.080
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2000"	"2000"	17	2285412	0.757
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2001"	"2001"	17	2303248	0.747
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2002"	"2002"	20	2318754	0.875
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2003"	"2003"	18	2330306	0.771
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2005"	"2005"	23	2332099	0.985
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2006"	"2006"	17	2320362	0.723
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2011"	"2011"	19	2277802	0.831
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2013"	"2013"	17	2236474	0.755
	"Leukemias"	"35011-35043"	"New York"	"36"	"1999"	"1999"	36	5187922	0.697
	"Leukemias"	"35011-35043"	"New York"	"36"	"2000"	"2000"	50	5206876	0.963
	"Leukemias"	"35011-35043"	"New York"	"36"	"2001"	"2001"	45	5193778	0.871
	"Leukemias"	"35011-35043"	"New York"	"36"	"2002"	"2002"	32	5177855	0.619
	"Leukemias"	"35011-35043"	"New York"	"36"	"2003"	"2003"	37	5149468	0.723
	"Leukemias"	"35011-35043"	"New York"	"36"	"2004"	"2004"	38	5110669	0.746
	"Leukemias"	"35011-35043"	"New York"	"36"	"2005"	"2005"	34	5053118	0.671
	"Leukemias"	"35011-35043"	"New York"	"36"	"2006"	"2006"	41	5001918	0.811
	"Leukemias"	"35011-35043"	"New York"	"36"	"2007"	"2007"	40	4965536	0.802
	"Leukemias"	"35011-35043"	"New York"	"36"	"2008"	"2008"	36	4945553	0.718
	"Leukemias"	"35011-35043"	"New York"	"36"	"2009"	"2009"	34	4922253	0.691
	"Leukemias"	"35011-35043"	"New York"	"36"	"2010"	"2010"	38	4888971	0.774
	"Leukemias"	"35011-35043"	"New York"	"36"	"2011"	"2011"	29	4855634	0.601
	"Leukemias"	"35011-35043"	"New York"	"36"	"2012"	"2012"	32	4817894	0.667
	"Leukemias"	"35011-35043"	"New York"	"36"	"2013"	"2013"	33	4778259	0.686
	"Leukemias"	"35011-35043"	"New York"	"36"	"2014"	"2014"	26	4733211	0.547
	"Leukemias"	"35011-35043"	"New York"	"36"	"2015"	"2015"	33	4694616	0.697
	"Leukemias"	"35011-35043"	"New York"	"36"	"2016"	"2016"	20	4654858	0.426
	"Leukemias"	"35011-35043"	"New York"	"36"	"2017"	"2017"	24	4612049	0.518
	"Leukemias"	"35011-35043"	"New York"	"36"	"2018"	"2018"	28	4567919	0.608
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2000"	"2000"	18	2196520	0.818
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2001"	"2001"	16	2239347	0.718
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2002"	"2002"	23	2273537	1.020
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2004"	"2004"	17	2330717	0.724
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2005"	"2005"	16	2371142	0.666
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2007"	"2007"	18	2480165	0.722
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2008"	"2008"	20	2523924	0.792
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2010"	"2010"	16	2561234	0.630
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2014"	"2014"	16	2551408	0.627
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2015"	"2015"	17	2554963	0.671
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"1999"	"1999"	28	3222127	0.867
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2000"	"2000"	30	3214599	0.931
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2001"	"2001"	18	3200250	0.559
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2002"	"2002"	19	3182127	0.596
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2003"	"2003"	30	3169697	0.943
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2004"	"2004"	21	3160151	0.659
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2006"	"2006"	16	3128181	0.506
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2008"	"2008"	16	3105558	0.508
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2009"	"2009"	21	3087465	0.675
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2010"	"2010"	16	3059274	0.523
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2012"	"2012"	16	2990107	0.538
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2014"	"2014"	20	2953293	0.680
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"1999"	"1999"	27	3275657	0.824
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2000"	"2000"	27	3267204	0.826
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2001"	"2001"	23	3256966	0.705
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2002"	"2002"	29	3247389	0.895
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2003"	"2003"	26	3239738	0.806
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2004"	"2004"	30	3235436	0.920
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2005"	"2005"	21	3226468	0.644
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2006"	"2006"	27	3223047	0.816
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2007"	"2007"	18	3217880	0.556
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2008"	"2008"	24	3208808	0.737
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2009"	"2009"	26	3196745	0.814
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2012"	"2012"	23	3115246	0.734
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2013"	"2013"	17	3085364	0.533
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2018"	"2018"	17	2995209	0.568
	"Leukemias"	"35011-35043"	"South Carolina"	"45"	"2002"	"2002"	16	1145171	1.382
	"Leukemias"	"35011-35043"	"Tennessee"	"47"	"2005"	"2005"	17	1612057	1.051
	"Leukemias"	"35011-35043"	"Texas"	"48"	"1999"	"1999"	68	6488388	1.047
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2000"	"2000"	72	6568599	1.092
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2001"	"2001"	69	6650892	1.038
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2002"	"2002"	58	6731078	0.865
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2003"	"2003"	43	6809683	0.627
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2004"	"2004"	59	6893798	0.867
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2005"	"2005"	64	6976844	0.924
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2006"	"2006"	62	7146953	0.860
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2007"	"2007"	69	7276869	0.953
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2008"	"2008"	47	7409811	0.639
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2009"	"2009"	63	7543609	0.833
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2010"	"2010"	63	7633495	0.825
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2011"	"2011"	62	7688199	0.810
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2012"	"2012"	73	7743245	0.938
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2013"	"2013"	51	7804941	0.655
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2014"	"2014"	38	7895768	0.485
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2015"	"2015"	54	7998160	0.676
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2016"	"2016"	64	8081802	0.794
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2017"	"2017"	59	8140364	0.727
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2018"	"2018"	63	8173708	0.770
	"Leukemias"	"35011-35043"	"Virginia"	"51"	"1999"	"1999"	19	1918957	0.988
	"Leukemias"	"35011-35043"	"Virginia"	"51"	"2000"	"2000"	18	1940254	0.931
	"Leukemias"	"35011-35043"	"Virginia"	"51"	"2001"	"2001"	17	1960964	0.863
	"Leukemias"	"35011-35043"	"Virginia"	"51"	"2003"	"2003"	19	1994268	0.949
	"Leukemias"	"35011-35043"	"Virginia"	"51"	"2012"	"2012"	18	2091576	0.860
	"Leukemias"	"35011-35043"	"Washington"	"53"	"1999"	"1999"	16	1674996	0.951
	"Leukemias"	"35011-35043"	"Washington"	"53"	"2003"	"2003"	17	1686857	1.013
	"Leukemias"	"35011-35043"	"Washington"	"53"	"2016"	"2016"	17	1805755	0.943
	"Leukemias"	"35011-35043"	"Wisconsin"	"55"	"2008"	"2008"	16	1511190	1.060
	"Non-Hodgkin Lymphoma"	"33041-33042"	"California"	"06"	"2000"	"2000"	17	10255924	0.170
	"Non-Hodgkin Lymphoma"	"33041-33042"	"California"	"06"	"2003"	"2003"	20	10407621	0.192
	"Non-Hodgkin Lymphoma"	"33041-33042"	"California"	"06"	"2004"	"2004"	19	10443725	0.182
	"Non-Hodgkin Lymphoma"	"33041-33042"	"New York"	"36"	"2006"	"2006"	16	5001918	0.310
	"Non-Hodgkin Lymphoma"	"33041-33042"	"Texas"	"48"	"2008"	"2008"	16	7409811	0.218
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2018 Mortality"
"Query Parameters:"
"Age Group: < 1 year; 1-4 years; 5-9 years; 10-14 years; 15-19 years"
"Leading Cancer Sites: All Leading Sites"
"Group By: Leading Cancer Sites; State; Year"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2018.html for more information."
"---"
"Query Date: Nov 22, 2021 7:38:00 PM"
"---"
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2018, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention; 2021. Accessed at"
"http://wonder.cdc.gov/CancerMort-v2018.html on Nov 22, 2021 7:38:00 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' is displayed for data values when they must not be provided in order to protect personal privacy. Data is"
"suppressed if fewer than 16 cases are reported in any one line of the results table. Data for the ""Asian / Pacific Islander"""
"and ""American Indian or Alaska Native"" race categories are suppressed at the Metropolitan Statistical Area level for"
"populations less than 50,000 persons. More information: http://wonder.cdc.gov/wonder/help/CancerMort-v2018.html#Suppressed."
"2. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More"
"information: http://wonder.cdc.gov/wonder/help/CancerMort-v2018.html#Genital Cancers List."
"3. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate"
"values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be"
"misleading."
"4. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were"
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:"
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may"
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence"
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one"
"code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are"
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was"
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the"
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US."
"Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in"
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the"
"proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates."
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this"
"report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this"
"data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>"
"5. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
